id,item,response,source,prediction,modelname,text
57c74977b23f0e000182dc3f,SOCK,i fill a sock with porridge oats to help my psoriasis in the bath,human,0.64,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: i fill a sock with porridge oats to help my psoriasis in the bath"
588ab33542c8e900019d02ae,BRICK,shoes,human,0.51,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: shoes"
588ab33542c8e900019d02ae,BUCKET,aquarium,human,0.63,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: aquarium"
588ab33542c8e900019d02ae,KNIFE,arm splint,human,0.6,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: arm splint"
588ab33542c8e900019d02ae,PENCIL,hair tie,human,0.5,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: hair tie"
588ab33542c8e900019d02ae,SOCK,ankle brace,human,0.63,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: ankle brace"
5929c96027ea400001301061,BRICK,micro garden,human,0.6,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: micro garden"
5929c96027ea400001301061,BUCKET,a fish tank,human,0.56,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: a fish tank"
5929c96027ea400001301061,KNIFE,applying paint,human,0.5,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: applying paint"
5929c96027ea400001301061,PENCIL,makeshift sundial,human,0.6,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: makeshift sundial"
5929c96027ea400001301061,SOCK,heat pack using rice filling,human,0.6,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: heat pack using rice filling"
5a381de00006450001bf2691,BRICK,wheel chock,human,0.45,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: wheel chock"
5a381de00006450001bf2691,BUCKET,hat,human,0.48,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: hat"
5a381de00006450001bf2691,KNIFE,spatula,human,0.55,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: spatula"
5a381de00006450001bf2691,PENCIL,tiny spear,human,0.57,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: tiny spear"
5a381de00006450001bf2691,SOCK,mittens,human,0.51,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: mittens"
5a44d679f7b7bc00014e020e,BRICK,it's a paperweight,human,0.42,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: it's a paperweight"
5a44d679f7b7bc00014e020e,BUCKET,storing pencil sharpners,human,0.47,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: storing pencil sharpners"
5a44d679f7b7bc00014e020e,KNIFE,for stiring coffe,human,0.44,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: for stiring coffe"
5a44d679f7b7bc00014e020e,PENCIL,as a dart,human,0.54,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: as a dart"
5a44d679f7b7bc00014e020e,SOCK,tie many together to make a scarf,human,0.56,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: tie many together to make a scarf"
5a8b1ee2000dab00018cc7cd,BRICK,to level furniture,human,0.47,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: to level furniture"
5a8b1ee2000dab00018cc7cd,BUCKET,stack many of them together to get a fence,human,0.58,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: stack many of them together to get a fence"
5a8b1ee2000dab00018cc7cd,KNIFE,as a divider,human,0.51,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: as a divider"
5a8b1ee2000dab00018cc7cd,PENCIL,to hold a bun in your hair,human,0.46,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: to hold a bun in your hair"
5a8b1ee2000dab00018cc7cd,SOCK,put over a sharp knife to protect from cuts,human,0.47,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: put over a sharp knife to protect from cuts"
5b421b9ac2e3810001763252,BRICK,could be used as a door stopper,human,0.39,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: could be used as a door stopper"
5b421b9ac2e3810001763252,BUCKET,pierce holes for eyes and mouth and use it as a mask,human,0.61,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: pierce holes for eyes and mouth and use it as a mask"
5b421b9ac2e3810001763252,KNIFE,use this as a paintbrush to paint with create unique lines,human,0.59,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: use this as a paintbrush to paint with create unique lines"
5b421b9ac2e3810001763252,PENCIL,use it for makeup as a way to add colour,human,0.48,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: use it for makeup as a way to add colour"
5b421b9ac2e3810001763252,SOCK,use it as a hairband and tie it round your hair,human,0.57,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: use it as a hairband and tie it round your hair"
5b5e0e86902ad10001cfcc59,BRICK,mosaic,human,0.52,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: mosaic"
5b5e0e86902ad10001cfcc59,BUCKET,emergency toilet,human,0.57,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: emergency toilet"
5b5e0e86902ad10001cfcc59,KNIFE,etching into material,human,0.51,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: etching into material"
5b5e0e86902ad10001cfcc59,PENCIL,bookmark,human,0.52,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: bookmark"
5b5e0e86902ad10001cfcc59,SOCK,turn into a cloth for cleaning,human,0.46,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: turn into a cloth for cleaning"
5b735a4c3503c60001a891b7,BRICK,self defense weapon,human,0.43,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: self defense weapon"
5b735a4c3503c60001a891b7,BUCKET,table,human,0.41,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: table"
5b735a4c3503c60001a891b7,KNIFE,toothpick,human,0.48,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: toothpick"
5b735a4c3503c60001a891b7,PENCIL,fake mustache,human,0.61,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: fake mustache"
5b735a4c3503c60001a891b7,SOCK,something to yeet at people if scrunched in ball,human,0.54,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: something to yeet at people if scrunched in ball"
5b985404a15058000124e508,BRICK,spirit level,human,0.57,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: spirit level"
5b985404a15058000124e508,BUCKET,collect sand,human,0.39,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: collect sand"
5b985404a15058000124e508,KNIFE,plate cleaner,human,0.45,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: plate cleaner"
5b985404a15058000124e508,PENCIL,height measurer,human,0.57,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: height measurer"
5b985404a15058000124e508,SOCK,use as a glove,human,0.49,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: use as a glove"
5b98940f754b700001f0f15c,BRICK,cup holder,human,0.53,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: cup holder"
5b98940f754b700001f0f15c,BUCKET,oil holder,human,0.49,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: oil holder"
5b98940f754b700001f0f15c,KNIFE,weapon,human,0.38,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: weapon"
5b98940f754b700001f0f15c,PENCIL,playdough roller,human,0.57,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: playdough roller"
5b98940f754b700001f0f15c,SOCK,washcloth,human,0.55,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: washcloth"
5bca67940f10750001d75f9f,BRICK,as a doorstop,human,0.46,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: as a doorstop"
5bca67940f10750001d75f9f,BUCKET,as a cover on a rainy day,human,0.47,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: as a cover on a rainy day"
5bca67940f10750001d75f9f,KNIFE,on the wall as part of art or a portrait,human,0.55,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: on the wall as part of art or a portrait"
5bca67940f10750001d75f9f,PENCIL,"to create a replica of a celing fan, the pencils could be the propellers",human,0.61,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: to create a replica of a celing fan, the pencils could be the propellers"
5bca67940f10750001d75f9f,SOCK,to create a small dress for a doll,human,0.61,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: to create a small dress for a doll"
5c01bf7d4c14cf00019ce2a4,BRICK,a bookend on a bookeshelf,human,0.59,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: a bookend on a bookeshelf"
5c01bf7d4c14cf00019ce2a4,BUCKET,a makeshift shower device,human,0.57,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: a makeshift shower device"
5c01bf7d4c14cf00019ce2a4,KNIFE,method of fire starting in survival situations,human,0.61,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: method of fire starting in survival situations"
5c01bf7d4c14cf00019ce2a4,PENCIL,use it for different ways to hold up longer hair styles,human,0.46,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: use it for different ways to hold up longer hair styles"
5c01bf7d4c14cf00019ce2a4,SOCK,sock puppet,human,0.67,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: sock puppet"
5c0bac19796adb00017dffcf,BRICK,use it as a doorstop.,human,0.45,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: use it as a doorstop."
5c0bac19796adb00017dffcf,BUCKET,use it to store toys or cloths.,human,0.31,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: use it to store toys or cloths."
5c0bac19796adb00017dffcf,KNIFE,open stuck lid by gently tapping around the rim.,human,0.51,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: open stuck lid by gently tapping around the rim."
5c0bac19796adb00017dffcf,PENCIL,use it as a toy sword or wand for witch.,human,0.62,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: use it as a toy sword or wand for witch."
5c0bac19796adb00017dffcf,SOCK,use it as a hand pupper for story telling.,human,0.66,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: use it as a hand pupper for story telling."
5c2c62542c45d400014a32e6,BRICK,hair detangler,human,0.52,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: hair detangler"
5c2c62542c45d400014a32e6,BUCKET,football helmet,human,0.56,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: football helmet"
5c2c62542c45d400014a32e6,KNIFE,nail cleaner,human,0.46,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: nail cleaner"
5c2c62542c45d400014a32e6,PENCIL,cleaning sinuses,human,0.49,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: cleaning sinuses"
5c2c62542c45d400014a32e6,SOCK,body exfoliator,human,0.65,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: body exfoliator"
5c309bb410677f0001dda0ed,BRICK,"when someone says they shit a brick, place a brick in the toilet to prove it.",human,0.62,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: when someone says they shit a brick, place a brick in the toilet to prove it."
5c309bb410677f0001dda0ed,BUCKET,collect coins over many years and cash them in when it is full.,human,0.52,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: collect coins over many years and cash them in when it is full."
5c309bb410677f0001dda0ed,KNIFE,use it to reflect light to try to get help if stranded somewhere in the forest.,human,0.64,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: use it to reflect light to try to get help if stranded somewhere in the forest."
5c309bb410677f0001dda0ed,PENCIL,create school ornaments with pieces of the pencil to hang on a tree.,human,0.54,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: create school ornaments with pieces of the pencil to hang on a tree."
5c309bb410677f0001dda0ed,SOCK,place coins in it to make it a weapon.,human,0.57,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: place coins in it to make it a weapon."
5c36e40e299f82000103ce0a,BRICK,to stop cars from splashing you with water after it rained,human,0.51,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: to stop cars from splashing you with water after it rained"
5c36e40e299f82000103ce0a,BUCKET,large mouse,human,0.59,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: large mouse"
5c36e40e299f82000103ce0a,KNIFE,magnet tester,human,0.59,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: magnet tester"
5c36e40e299f82000103ce0a,PENCIL,dice,human,0.54,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: dice"
5c36e40e299f82000103ce0a,SOCK,filter,human,0.6,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: filter"
5c3a4e759e794d000129a225,KNIFE,"to hang as a windchime, to create a daido rail around a room edge, to stab in the floor in a patter to create a tiny cage for a hamster, to lay on the floor and cover in resin as an interesting flooring, to slip between pages of a book as a book turner",human,0.74,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: to hang as a windchime, to create a daido rail around a room edge, to stab in the floor in a patter to create a tiny cage for a hamster, to lay on the floor and cover in resin as an interesting flooring, to slip between pages of a book as a book turner"
5c3a4e759e794d000129a225,PENCIL,stick to a headband and write on walls as you walk past,human,0.55,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: stick to a headband and write on walls as you walk past"
5c3a4e759e794d000129a225,SOCK,throw a balled up one at the telly to change channel.,human,0.62,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: throw a balled up one at the telly to change channel."
5c7ceda01d2afc0001f4ad1d,BRICK,juggling,human,0.51,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: juggling"
5c7ceda01d2afc0001f4ad1d,BUCKET,weight lifting,human,0.61,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: weight lifting"
5c7ceda01d2afc0001f4ad1d,KNIFE,hammer,human,0.54,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: hammer"
5c7ceda01d2afc0001f4ad1d,PENCIL,pointer,human,0.5,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: pointer"
5c7ceda01d2afc0001f4ad1d,SOCK,belt,human,0.51,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: belt"
5c7ea15cb215c6000122b48d,BRICK,use them when you steal someone elses tyres,human,0.55,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: use them when you steal someone elses tyres"
5c7ea15cb215c6000122b48d,BUCKET,have a throwing competition with one,human,0.49,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: have a throwing competition with one"
5c7ea15cb215c6000122b48d,KNIFE,cut down old christmas decorations,human,0.43,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: cut down old christmas decorations"
5c7ea15cb215c6000122b48d,PENCIL,use it to poke a hole through something,human,0.39,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: use it to poke a hole through something"
5c7ea15cb215c6000122b48d,SOCK,use them to look like rabbit ears,human,0.61,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: use them to look like rabbit ears"
5c91658e319e1200014f6f9b,BRICK,table,human,0.48,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: table"
5c91658e319e1200014f6f9b,BUCKET,plant holder,human,0.51,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: plant holder"
5c91658e319e1200014f6f9b,KNIFE,paintbrush,human,0.52,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: paintbrush"
5c91658e319e1200014f6f9b,PENCIL,makeup,human,0.5,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: makeup"
5c91658e319e1200014f6f9b,SOCK,eraser,human,0.5,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: eraser"
5ca5189dce3f920016239854,BRICK,purse,human,0.55,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: purse"
5ca5189dce3f920016239854,BUCKET,a small table,human,0.46,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: a small table"
5ca5189dce3f920016239854,KNIFE,keyring,human,0.48,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: keyring"
5ca5189dce3f920016239854,PENCIL,necklace,human,0.55,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: necklace"
5ca5189dce3f920016239854,SOCK,to wash small delicate items in,human,0.44,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: to wash small delicate items in"
5ca9d0224f3e9d00164426f3,BRICK,flower press,human,0.57,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: flower press"
5ca9d0224f3e9d00164426f3,BUCKET,helmet,human,0.49,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: helmet"
5ca9d0224f3e9d00164426f3,KNIFE,weapon,human,0.38,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: weapon"
5ca9d0224f3e9d00164426f3,PENCIL,ear decoration (pencil behind the ear),human,0.54,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: ear decoration (pencil behind the ear)"
5ca9d0224f3e9d00164426f3,SOCK,puppet,human,0.7,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: puppet"
5cab22cd68194f001511b2d6,BRICK,paving,human,0.42,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: paving"
5cab22cd68194f001511b2d6,BUCKET,plant pot,human,0.5,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: plant pot"
5cab22cd68194f001511b2d6,KNIFE,sharpen pencils,human,0.42,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: sharpen pencils"
5cab22cd68194f001511b2d6,PENCIL,drawing,human,0.23,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: drawing"
5cab22cd68194f001511b2d6,SOCK,christmas stocking,human,0.45,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: christmas stocking"
5d45521afdaaad00010ec185,BRICK,use several to make stepping stones for children to practice balancing,human,0.64,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: use several to make stepping stones for children to practice balancing"
5d45521afdaaad00010ec185,BUCKET,to create a maths question for kids - estimate how many ping balls to fill bucket - then they can check it out,human,0.7,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: to create a maths question for kids - estimate how many ping balls to fill bucket - then they can check it out"
5d45521afdaaad00010ec185,KNIFE,glue spreader,human,0.54,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: glue spreader"
5d45521afdaaad00010ec185,PENCIL,use two to create an axis for a model car,human,0.7,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: use two to create an axis for a model car"
5d45521afdaaad00010ec185,SOCK,"to hold small items, like a seashell collection",human,0.45,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: to hold small items, like a seashell collection"
5d558ebe886e3f0020e90fce,BRICK,doorstop,human,0.48,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: doorstop"
5d558ebe886e3f0020e90fce,BUCKET,use it for antfarm,human,0.52,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: use it for antfarm"
5d558ebe886e3f0020e90fce,KNIFE,file nails with it,human,0.46,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: file nails with it"
5d558ebe886e3f0020e90fce,PENCIL,slice cheese with it,human,0.31,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: slice cheese with it"
5d558ebe886e3f0020e90fce,SOCK,pencil case,human,0.49,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: pencil case"
5d66f49c531d6e0001e99e8a,BRICK,use to build something,human,0.38,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: use to build something"
5d66f49c531d6e0001e99e8a,BUCKET,use as a hat,human,0.5,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: use as a hat"
