id,item,response,source,prediction,modelname,effectiveness_prediction,text
574aff1b5bef980007af2745,assist people with memory impairments remember important tasks,reminders used in cars via dashboard,human,0.57,AIDE,0.49,An original solution to assist people with memory impairments remember important tasks is reminders used in cars via dashboard
574aff1b5bef980007af2745,help people with mobility impairments navigate stairs,floors that shrink down to ground level for the person to get onto then go back to original level,human,0.7,AIDE,0.45,An original solution to help people with mobility impairments navigate stairs is floors that shrink down to ground level for the person to get onto then go back to original level
574aff1b5bef980007af2745,improve access to clean water in remote areas,each house as their own filter system to collect rainwater,human,0.45,AIDE,0.55,An original solution to improve access to clean water in remote areas is each house as their own filter system to collect rainwater
574aff1b5bef980007af2745,increase the use of renewable energy sources,every home to collect rainwater which is then collected and put into storage systems,human,0.52,AIDE,0.58,An original solution to increase the use of renewable energy sources is every home to collect rainwater which is then collected and put into storage systems
574aff1b5bef980007af2745,reduce traffic congestion in mega cities,make certain roads for cars/vans and no lorries or cyclists,human,0.38,AIDE,0.47,An original solution to reduce traffic congestion in mega cities is make certain roads for cars/vans and no lorries or cyclists
5751b9a8702d130006285f79,assist people with memory impairments remember important tasks,an app designed specifically for people with memory impairments to remember important tasks by inputing the tasks with reminder notifications,human,0.67,AIDE,0.66,An original solution to assist people with memory impairments remember important tasks is an app designed specifically for people with memory impairments to remember important tasks by inputing the tasks with reminder notifications
5751b9a8702d130006285f79,help people with mobility impairments navigate stairs,seat on the side that takes them up the stairs,human,0.4,AIDE,0.58,An original solution to help people with mobility impairments navigate stairs is seat on the side that takes them up the stairs
5751b9a8702d130006285f79,improve access to clean water in remote areas,water transported from other places,human,0.43,AIDE,0.48,An original solution to improve access to clean water in remote areas is water transported from other places
5751b9a8702d130006285f79,increase the use of renewable energy sources,solar panels on top of cars,human,0.43,AIDE,0.48,An original solution to increase the use of renewable energy sources is solar panels on top of cars
5751b9a8702d130006285f79,reduce traffic congestion in mega cities,convenient high speed train lines,human,0.46,AIDE,0.78,An original solution to reduce traffic congestion in mega cities is convenient high speed train lines
57c74977b23f0e000182dc3f,assist people with memory impairments remember important tasks,"wristband with their name, home address and medical info and emergency contact number",human,0.57,AIDE,0.46,"An original solution to assist people with memory impairments remember important tasks is wristband with their name, home address and medical info and emergency contact number"
57c74977b23f0e000182dc3f,help people with mobility impairments navigate stairs,have double hand rails each side incase they have to bend their backs legs more,human,0.5,AIDE,0.56,An original solution to help people with mobility impairments navigate stairs is have double hand rails each side incase they have to bend their backs legs more
57c74977b23f0e000182dc3f,improve access to clean water in remote areas,free water filters for the less financed people,human,0.45,AIDE,0.57,An original solution to improve access to clean water in remote areas is free water filters for the less financed people
57c74977b23f0e000182dc3f,increase the use of renewable energy sources,get rid of use by dates,human,0.3,AIDE,0.28,An original solution to increase the use of renewable energy sources is get rid of use by dates
57c74977b23f0e000182dc3f,reduce traffic congestion in mega cities,"walking initivate schemes ie a book voucher for £5 for every 50,000 steps walked",human,0.56,AIDE,0.66,"An original solution to reduce traffic congestion in mega cities is walking initivate schemes ie a book voucher for £5 for every 50,000 steps walked"
588ab33542c8e900019d02ae,assist people with memory impairments remember important tasks,computer chips like neural link that can improve memory.,human,0.64,AIDE,0.53,An original solution to assist people with memory impairments remember important tasks is computer chips like neural link that can improve memory.
588ab33542c8e900019d02ae,help people with mobility impairments navigate stairs,robotic chairs that the person can sit on and automatically be carried up the stairs.,human,0.71,AIDE,0.66,An original solution to help people with mobility impairments navigate stairs is robotic chairs that the person can sit on and automatically be carried up the stairs.
588ab33542c8e900019d02ae,improve access to clean water in remote areas,self driving vehicles that constantly deliver clean water,human,0.58,AIDE,0.47,An original solution to improve access to clean water in remote areas is self driving vehicles that constantly deliver clean water
588ab33542c8e900019d02ae,increase the use of renewable energy sources,give tax breaks for renewable energy sources,human,0.4,AIDE,0.62,An original solution to increase the use of renewable energy sources is give tax breaks for renewable energy sources
588ab33542c8e900019d02ae,reduce traffic congestion in mega cities,flying cars to fly over traffic.,human,0.66,AIDE,0.27,An original solution to reduce traffic congestion in mega cities is flying cars to fly over traffic.
5929c96027ea400001301061,assist people with memory impairments remember important tasks,auto detection of location that informs of specific tasks relating to that location,human,0.7,AIDE,0.49,An original solution to assist people with memory impairments remember important tasks is auto detection of location that informs of specific tasks relating to that location
5929c96027ea400001301061,help people with mobility impairments navigate stairs,exoskeleton,human,0.63,AIDE,0.15,An original solution to help people with mobility impairments navigate stairs is exoskeleton
5929c96027ea400001301061,improve access to clean water in remote areas,treatment processing of river water,human,0.43,AIDE,0.67,An original solution to improve access to clean water in remote areas is treatment processing of river water
5929c96027ea400001301061,increase the use of renewable energy sources,"have wind turbines on the sides of roads, especially motorways",human,0.41,AIDE,0.56,"An original solution to increase the use of renewable energy sources is have wind turbines on the sides of roads, especially motorways"
5929c96027ea400001301061,reduce traffic congestion in mega cities,flexible roads that can change depending on traffic,human,0.47,AIDE,0.52,An original solution to reduce traffic congestion in mega cities is flexible roads that can change depending on traffic
5a381de00006450001bf2691,assist people with memory impairments remember important tasks,fill their house with screens like an airport with their schedule,human,0.61,AIDE,0.36,An original solution to assist people with memory impairments remember important tasks is fill their house with screens like an airport with their schedule
5a381de00006450001bf2691,improve access to clean water in remote areas,seed the atmosphere nearby so it rains more,human,0.56,AIDE,0.37,An original solution to improve access to clean water in remote areas is seed the atmosphere nearby so it rains more
5a381de00006450001bf2691,reduce traffic congestion in mega cities,rewards for going car free,human,0.47,AIDE,0.51,An original solution to reduce traffic congestion in mega cities is rewards for going car free
5a8b1ee2000dab00018cc7cd,assist people with memory impairments remember important tasks,let them earn rewards for remembering to do important tasks,human,0.54,AIDE,0.62,An original solution to assist people with memory impairments remember important tasks is let them earn rewards for remembering to do important tasks
5a8b1ee2000dab00018cc7cd,help people with mobility impairments navigate stairs,a walker that has a light on it and is stable enough to be used instead of the banister,human,0.59,AIDE,0.61,An original solution to help people with mobility impairments navigate stairs is a walker that has a light on it and is stable enough to be used instead of the banister
5a8b1ee2000dab00018cc7cd,improve access to clean water in remote areas,design a rinsable filter that can be used to filter out contaminants in areas that have dirty water,human,0.52,AIDE,0.63,An original solution to improve access to clean water in remote areas is design a rinsable filter that can be used to filter out contaminants in areas that have dirty water
5a8b1ee2000dab00018cc7cd,increase the use of renewable energy sources,roof tiles made of solar panels,human,0.51,AIDE,0.56,An original solution to increase the use of renewable energy sources is roof tiles made of solar panels
5a8b1ee2000dab00018cc7cd,reduce traffic congestion in mega cities,everyone only gets a certain amount of days a month they can drive their own car in congested areas,human,0.51,AIDE,0.46,An original solution to reduce traffic congestion in mega cities is everyone only gets a certain amount of days a month they can drive their own car in congested areas
5b421b9ac2e3810001763252,assist people with memory impairments remember important tasks,a bracelet to wear which makes a ring or alert to remember tasks,human,0.62,AIDE,0.52,An original solution to assist people with memory impairments remember important tasks is a bracelet to wear which makes a ring or alert to remember tasks
5b421b9ac2e3810001763252,help people with mobility impairments navigate stairs,a hoverboard style lift which is compact but sturdy,human,0.63,AIDE,0.49,An original solution to help people with mobility impairments navigate stairs is a hoverboard style lift which is compact but sturdy
5b421b9ac2e3810001763252,improve access to clean water in remote areas,a system which extracts impurities before it reaches its source such as a mechanical device for filtering water,human,0.54,AIDE,0.68,An original solution to improve access to clean water in remote areas is a system which extracts impurities before it reaches its source such as a mechanical device for filtering water
5b421b9ac2e3810001763252,increase the use of renewable energy sources,a continuous apparatus which also stores energy to be used later,human,0.64,AIDE,0.39,An original solution to increase the use of renewable energy sources is a continuous apparatus which also stores energy to be used later
5b421b9ac2e3810001763252,reduce traffic congestion in mega cities,an extra road which can be used so instead of two could be three but allows you to get to where you still need to,human,0.66,AIDE,0.59,An original solution to reduce traffic congestion in mega cities is an extra road which can be used so instead of two could be three but allows you to get to where you still need to
5b5e0e86902ad10001cfcc59,assist people with memory impairments remember important tasks,record tasks for the next day on phone or some sort of recording equipment to listen back to,human,0.44,AIDE,0.51,An original solution to assist people with memory impairments remember important tasks is record tasks for the next day on phone or some sort of recording equipment to listen back to
5b5e0e86902ad10001cfcc59,help people with mobility impairments navigate stairs,install a stairlift,human,0.3,AIDE,0.53,An original solution to help people with mobility impairments navigate stairs is install a stairlift
5b5e0e86902ad10001cfcc59,improve access to clean water in remote areas,use filters to make sure water is clean,human,0.31,AIDE,0.6,An original solution to improve access to clean water in remote areas is use filters to make sure water is clean
5b5e0e86902ad10001cfcc59,increase the use of renewable energy sources,encourage use with signage,human,0.25,AIDE,0.48,An original solution to increase the use of renewable energy sources is encourage use with signage
5b5e0e86902ad10001cfcc59,reduce traffic congestion in mega cities,"encourage people to use alternative methods where possible (walking, cycling, etc)",human,0.39,AIDE,0.76,"An original solution to reduce traffic congestion in mega cities is encourage people to use alternative methods where possible (walking, cycling, etc)"
5b735a4c3503c60001a891b7,assist people with memory impairments remember important tasks,physical reminders. (like a rubberband on the wrist),human,0.4,AIDE,0.54,An original solution to assist people with memory impairments remember important tasks is physical reminders. (like a rubberband on the wrist)
5b735a4c3503c60001a891b7,help people with mobility impairments navigate stairs,wide and short stairs instead of steep,human,0.5,AIDE,0.45,An original solution to help people with mobility impairments navigate stairs is wide and short stairs instead of steep
5b735a4c3503c60001a891b7,improve access to clean water in remote areas,donate water,human,0.3,AIDE,0.31,An original solution to improve access to clean water in remote areas is donate water
5b735a4c3503c60001a891b7,increase the use of renewable energy sources,regulations for using renewable resources,human,0.32,AIDE,0.45,An original solution to increase the use of renewable energy sources is regulations for using renewable resources
5b735a4c3503c60001a891b7,reduce traffic congestion in mega cities,extra road lane,human,0.27,AIDE,0.51,An original solution to reduce traffic congestion in mega cities is extra road lane
5b985404a15058000124e508,help people with mobility impairments navigate stairs,expanding poles,human,0.45,AIDE,0.39,An original solution to help people with mobility impairments navigate stairs is expanding poles
5b98940f754b700001f0f15c,assist people with memory impairments remember important tasks,telephone message reminders,human,0.38,AIDE,0.5,An original solution to assist people with memory impairments remember important tasks is telephone message reminders
5b98940f754b700001f0f15c,help people with mobility impairments navigate stairs,make the stairs closer together and bigger,human,0.41,AIDE,0.43,An original solution to help people with mobility impairments navigate stairs is make the stairs closer together and bigger
5b98940f754b700001f0f15c,improve access to clean water in remote areas,have water transported to the area,human,0.29,AIDE,0.44,An original solution to improve access to clean water in remote areas is have water transported to the area
5b98940f754b700001f0f15c,increase the use of renewable energy sources,recycle plastics,human,0.32,AIDE,0.35,An original solution to increase the use of renewable energy sources is recycle plastics
5b98940f754b700001f0f15c,reduce traffic congestion in mega cities,more shortcut streets,human,0.4,AIDE,0.48,An original solution to reduce traffic congestion in mega cities is more shortcut streets
5bca67940f10750001d75f9f,assist people with memory impairments remember important tasks,a calendar that has a chime notification that appears on their phone.,human,0.46,AIDE,0.61,An original solution to assist people with memory impairments remember important tasks is a calendar that has a chime notification that appears on their phone.
5bca67940f10750001d75f9f,help people with mobility impairments navigate stairs,have employees download an app on their phone that chimes when a customer needs help navigating the stairs,human,0.59,AIDE,0.69,An original solution to help people with mobility impairments navigate stairs is have employees download an app on their phone that chimes when a customer needs help navigating the stairs
5bca67940f10750001d75f9f,improve access to clean water in remote areas,an app that gives users information on where the find areas where there's clean water,human,0.53,AIDE,0.56,An original solution to improve access to clean water in remote areas is an app that gives users information on where the find areas where there's clean water
5bca67940f10750001d75f9f,increase the use of renewable energy sources,creating an app that helps users find places where they can buy or donate items to be reused,human,0.65,AIDE,0.6,An original solution to increase the use of renewable energy sources is creating an app that helps users find places where they can buy or donate items to be reused
5bca67940f10750001d75f9f,reduce traffic congestion in mega cities,an automated sign that signals to drivers  what aisle to go to reduce traffic,human,0.5,AIDE,0.52,An original solution to reduce traffic congestion in mega cities is an automated sign that signals to drivers  what aisle to go to reduce traffic
5c01bf7d4c14cf00019ce2a4,assist people with memory impairments remember important tasks,normal labeling of the things that need to get done or be addressed,human,0.38,AIDE,0.46,An original solution to assist people with memory impairments remember important tasks is normal labeling of the things that need to get done or be addressed
5c01bf7d4c14cf00019ce2a4,help people with mobility impairments navigate stairs,keep the stairs but design them in a manner where each step is minimal so it requires little effort to reach the next step.,human,0.64,AIDE,0.5,An original solution to help people with mobility impairments navigate stairs is keep the stairs but design them in a manner where each step is minimal so it requires little effort to reach the next step.
5c01bf7d4c14cf00019ce2a4,improve access to clean water in remote areas,the building of wells that are located centrally or in convenient locations for most locals.,human,0.5,AIDE,0.67,An original solution to improve access to clean water in remote areas is the building of wells that are located centrally or in convenient locations for most locals.
5c01bf7d4c14cf00019ce2a4,increase the use of renewable energy sources,"in urban areas with lots of foot traffic, use sidewalks (or even the roads as well) to store the kinetic energy and use it.",human,0.58,AIDE,0.7,"An original solution to increase the use of renewable energy sources is in urban areas with lots of foot traffic, use sidewalks (or even the roads as well) to store the kinetic energy and use it."
5c01bf7d4c14cf00019ce2a4,reduce traffic congestion in mega cities,start charging a fee for heavy congested times,human,0.41,AIDE,0.41,An original solution to reduce traffic congestion in mega cities is start charging a fee for heavy congested times
5c0bac19796adb00017dffcf,assist people with memory impairments remember important tasks,a voice assistant that checks in and asks simple yes/no questions about tasks.,human,0.57,AIDE,0.69,An original solution to assist people with memory impairments remember important tasks is a voice assistant that checks in and asks simple yes/no questions about tasks.
5c0bac19796adb00017dffcf,help people with mobility impairments navigate stairs,portable stair climbing wheelchairs that can be attached or detached easily.,human,0.6,AIDE,0.54,An original solution to help people with mobility impairments navigate stairs is portable stair climbing wheelchairs that can be attached or detached easily.
5c0bac19796adb00017dffcf,improve access to clean water in remote areas,portable water filters that can be carried by hand.,human,0.45,AIDE,0.65,An original solution to improve access to clean water in remote areas is portable water filters that can be carried by hand.
5c0bac19796adb00017dffcf,increase the use of renewable energy sources,solar panels integrated into building windows and walls.,human,0.61,AIDE,0.68,An original solution to increase the use of renewable energy sources is solar panels integrated into building windows and walls.
5c0bac19796adb00017dffcf,reduce traffic congestion in mega cities,smart traffic lights that change timing based on real time traffic flow.,human,0.62,AIDE,0.66,An original solution to reduce traffic congestion in mega cities is smart traffic lights that change timing based on real time traffic flow.
5c2c62542c45d400014a32e6,assist people with memory impairments remember important tasks,make an alarm clock that is connected to a calendar,human,0.42,AIDE,0.49,An original solution to assist people with memory impairments remember important tasks is make an alarm clock that is connected to a calendar
5c2c62542c45d400014a32e6,help people with mobility impairments navigate stairs,hire people to lift wheelchairs up stairs,human,0.4,AIDE,0.49,An original solution to help people with mobility impairments navigate stairs is hire people to lift wheelchairs up stairs
5c2c62542c45d400014a32e6,improve access to clean water in remote areas,give everyone a water filter,human,0.32,AIDE,0.4,An original solution to improve access to clean water in remote areas is give everyone a water filter
5c2c62542c45d400014a32e6,increase the use of renewable energy sources,the government should own companies to spread solar,human,0.49,AIDE,0.44,An original solution to increase the use of renewable energy sources is the government should own companies to spread solar
5c2c62542c45d400014a32e6,reduce traffic congestion in mega cities,place more signs to communicate to drivers,human,0.32,AIDE,0.51,An original solution to reduce traffic congestion in mega cities is place more signs to communicate to drivers
5c309bb410677f0001dda0ed,assist people with memory impairments remember important tasks,automated digital flashcards timed to remind of something,human,0.55,AIDE,0.63,An original solution to assist people with memory impairments remember important tasks is automated digital flashcards timed to remind of something
5c309bb410677f0001dda0ed,help people with mobility impairments navigate stairs,invent levitating boards that people can use to go upstairs without moving,human,0.67,AIDE,0.45,An original solution to help people with mobility impairments navigate stairs is invent levitating boards that people can use to go upstairs without moving
5c309bb410677f0001dda0ed,improve access to clean water in remote areas,delivery services for water.,human,0.37,AIDE,0.49,An original solution to improve access to clean water in remote areas is delivery services for water.
5c309bb410677f0001dda0ed,increase the use of renewable energy sources,heavy tax incentives to use alternate energy sources.,human,0.5,AIDE,0.74,An original solution to increase the use of renewable energy sources is heavy tax incentives to use alternate energy sources.
5c309bb410677f0001dda0ed,reduce traffic congestion in mega cities,forgive unpaid traffic tickets when taking public transit,human,0.39,AIDE,0.63,An original solution to reduce traffic congestion in mega cities is forgive unpaid traffic tickets when taking public transit
5c36e40e299f82000103ce0a,assist people with memory impairments remember important tasks,robot,human,0.46,AIDE,0.2,An original solution to assist people with memory impairments remember important tasks is robot
5c36e40e299f82000103ce0a,help people with mobility impairments navigate stairs,ultra strong exo skeleton,human,0.68,AIDE,0.19,An original solution to help people with mobility impairments navigate stairs is ultra strong exo skeleton
5c36e40e299f82000103ce0a,improve access to clean water in remote areas,evacuation order to make them relocate near water,human,0.45,AIDE,0.49,An original solution to improve access to clean water in remote areas is evacuation order to make them relocate near water
5c36e40e299f82000103ce0a,increase the use of renewable energy sources,device that can recycle plastic directly into energy,human,0.78,AIDE,0.55,An original solution to increase the use of renewable energy sources is device that can recycle plastic directly into energy
5c36e40e299f82000103ce0a,reduce traffic congestion in mega cities,more detours,human,0.38,AIDE,0.59,An original solution to reduce traffic congestion in mega cities is more detours
5c7ceda01d2afc0001f4ad1d,assist people with memory impairments remember important tasks,remote reminder service,human,0.46,AIDE,0.54,An original solution to assist people with memory impairments remember important tasks is remote reminder service
5c7ceda01d2afc0001f4ad1d,help people with mobility impairments navigate stairs,pulley system,human,0.48,AIDE,0.48,An original solution to help people with mobility impairments navigate stairs is pulley system
5c7ceda01d2afc0001f4ad1d,improve access to clean water in remote areas,water purification tablets,human,0.51,AIDE,0.7,An original solution to improve access to clean water in remote areas is water purification tablets
5c7ceda01d2afc0001f4ad1d,increase the use of renewable energy sources,chart impact of adopting renewables,human,0.34,AIDE,0.52,An original solution to increase the use of renewable energy sources is chart impact of adopting renewables
5c7ceda01d2afc0001f4ad1d,reduce traffic congestion in mega cities,increase cycling paths,human,0.34,AIDE,0.73,An original solution to reduce traffic congestion in mega cities is increase cycling paths
5c7ea15cb215c6000122b48d,assist people with memory impairments remember important tasks,a service where people help people with memory impairments remember stuff,human,0.47,AIDE,0.5,An original solution to assist people with memory impairments remember important tasks is a service where people help people with memory impairments remember stuff
5c7ea15cb215c6000122b48d,help people with mobility impairments navigate stairs,schemes for people with mobility issues to have their house reworked and take any stairs out and instead move the upper floor rooms to the ground level,human,0.77,AIDE,0.58,An original solution to help people with mobility impairments navigate stairs is schemes for people with mobility issues to have their house reworked and take any stairs out and instead move the upper floor rooms to the ground level
5c7ea15cb215c6000122b48d,improve access to clean water in remote areas,have these people be moved to a less remote area,human,0.45,AIDE,0.41,An original solution to improve access to clean water in remote areas is have these people be moved to a less remote area
5c7ea15cb215c6000122b48d,increase the use of renewable energy sources,ban other sources of energy,human,0.4,AIDE,0.21,An original solution to increase the use of renewable energy sources is ban other sources of energy
5c7ea15cb215c6000122b48d,reduce traffic congestion in mega cities,ban cars of a certain length/size,human,0.41,AIDE,0.31,An original solution to reduce traffic congestion in mega cities is ban cars of a certain length/size
5c91658e319e1200014f6f9b,assist people with memory impairments remember important tasks,brain chips,human,0.51,AIDE,0.39,An original solution to assist people with memory impairments remember important tasks is brain chips
5c91658e319e1200014f6f9b,help people with mobility impairments navigate stairs,exoskeletons,human,0.33,AIDE,0.33,An original solution to help people with mobility impairments navigate stairs is exoskeletons
5c91658e319e1200014f6f9b,improve access to clean water in remote areas,water purifier tablets,human,0.42,AIDE,0.66,An original solution to improve access to clean water in remote areas is water purifier tablets
5c91658e319e1200014f6f9b,increase the use of renewable energy sources,"more portable and powerful batteries, personal wind turbines, portable solar panels, man-powered generators.",human,0.73,AIDE,0.65,"An original solution to increase the use of renewable energy sources is more portable and powerful batteries, personal wind turbines, portable solar panels, man-powered generators."
5c91658e319e1200014f6f9b,reduce traffic congestion in mega cities,alternate bridges or roads,human,0.36,AIDE,0.57,An original solution to reduce traffic congestion in mega cities is alternate bridges or roads
5ca5189dce3f920016239854,assist people with memory impairments remember important tasks,watch with reminders and vibrations,human,0.46,AIDE,0.5,An original solution to assist people with memory impairments remember important tasks is watch with reminders and vibrations
5ca5189dce3f920016239854,help people with mobility impairments navigate stairs,noise sensor so they know when they're too close to the edge,human,0.58,AIDE,0.47,An original solution to help people with mobility impairments navigate stairs is noise sensor so they know when they're too close to the edge
5ca5189dce3f920016239854,improve access to clean water in remote areas,water filtration systems,human,0.38,AIDE,0.54,An original solution to improve access to clean water in remote areas is water filtration systems
5ca5189dce3f920016239854,increase the use of renewable energy sources,use more solar famrs,human,0.33,AIDE,0.55,An original solution to increase the use of renewable energy sources is use more solar famrs
5ca5189dce3f920016239854,reduce traffic congestion in mega cities,better roads,human,0.3,AIDE,0.67,An original solution to reduce traffic congestion in mega cities is better roads
5ca9d0224f3e9d00164426f3,assist people with memory impairments remember important tasks,tape recorder to record own voice to remind oneself of things,human,0.51,AIDE,0.42,An original solution to assist people with memory impairments remember important tasks is tape recorder to record own voice to remind oneself of things
5ca9d0224f3e9d00164426f3,help people with mobility impairments navigate stairs,a slide,human,0.17,AIDE,0.31,An original solution to help people with mobility impairments navigate stairs is a slide
5ca9d0224f3e9d00164426f3,improve access to clean water in remote areas,drones that bring water to hard to reach areas,human,0.62,AIDE,0.4,An original solution to improve access to clean water in remote areas is drones that bring water to hard to reach areas
5ca9d0224f3e9d00164426f3,increase the use of renewable energy sources,portable solar panels to generate energy on the go,human,0.65,AIDE,0.65,An original solution to increase the use of renewable energy sources is portable solar panels to generate energy on the go
5cab22cd68194f001511b2d6,assist people with memory impairments remember important tasks,have an app,human,0.23,AIDE,0.44,An original solution to assist people with memory impairments remember important tasks is have an app
5cab22cd68194f001511b2d6,help people with mobility impairments navigate stairs,sensors o,human,0.32,AIDE,0.27,An original solution to help people with mobility impairments navigate stairs is sensors o
5cab22cd68194f001511b2d6,improve access to clean water in remote areas,water filter tablets,human,0.4,AIDE,0.59,An original solution to improve access to clean water in remote areas is water filter tablets
5cab22cd68194f001511b2d6,increase the use of renewable energy sources,reduce car use,human,0.19,AIDE,0.33,An original solution to increase the use of renewable energy sources is reduce car use
5cab22cd68194f001511b2d6,reduce traffic congestion in mega cities,improve public transport,human,0.37,AIDE,0.8,An original solution to reduce traffic congestion in mega cities is improve public transport
5d45521afdaaad00010ec185,assist people with memory impairments remember important tasks,"a system using alexa where reminders are spoken in a timely manner, picture cards placed in prominent places eg a picture of a toothbrush on the bathroom door to prompt teeth brushing",human,0.69,AIDE,0.8,"An original solution to assist people with memory impairments remember important tasks is a system using alexa where reminders are spoken in a timely manner, picture cards placed in prominent places eg a picture of a toothbrush on the bathroom door to prompt teeth brushing"
5d45521afdaaad00010ec185,help people with mobility impairments navigate stairs,"a second rail on the other side, a halfway landing with chair for breaks, distractions like pictures on the wall so its not so tediuos to go slowly",human,0.61,AIDE,0.61,"An original solution to help people with mobility impairments navigate stairs is a second rail on the other side, a halfway landing with chair for breaks, distractions like pictures on the wall so its not so tediuos to go slowly"
5d45521afdaaad00010ec185,improve access to clean water in remote areas,"install water purifying plants attached to existing buildings, like schools, to keep costs low and have water at the heart of the community.",human,0.64,AIDE,0.79,"An original solution to improve access to clean water in remote areas is install water purifying plants attached to existing buildings, like schools, to keep costs low and have water at the heart of the community."
5d45521afdaaad00010ec185,increase the use of renewable energy sources,"install solar panels on all new commercial buildings, install water wheels on rivers to drive museums/resta",human,0.6,AIDE,0.58,"An original solution to increase the use of renewable energy sources is install solar panels on all new commercial buildings, install water wheels on rivers to drive museums/resta"
5d45521afdaaad00010ec185,reduce traffic congestion in mega cities,more cycle and pedestrian routes that are enjoyable to use. restrict days citizens can use their cars - eg all sw7 postcodes can use their cars on tuesday,human,0.53,AIDE,0.68,An original solution to reduce traffic congestion in mega cities is more cycle and pedestrian routes that are enjoyable to use. restrict days citizens can use their cars - eg all sw7 postcodes can use their cars on tuesday
5d558ebe886e3f0020e90fce,assist people with memory impairments remember important tasks,calendars with voice capabilities that remind people of events that have been to them,human,0.6,AIDE,0.56,An original solution to assist people with memory impairments remember important tasks is calendars with voice capabilities that remind people of events that have been to them
5d558ebe886e3f0020e90fce,help people with mobility impairments navigate stairs,hand grips that allow people to hold on to the railings with stability as they navigate the stairs,human,0.52,AIDE,0.65,An original solution to help people with mobility impairments navigate stairs is hand grips that allow people to hold on to the railings with stability as they navigate the stairs
5d558ebe886e3f0020e90fce,improve access to clean water in remote areas,homemade filtration systems in each household,human,0.45,AIDE,0.62,An original solution to improve access to clean water in remote areas is homemade filtration systems in each household
5d558ebe886e3f0020e90fce,increase the use of renewable energy sources,give more subsidies to renewable energy sources,human,0.37,AIDE,0.58,An original solution to increase the use of renewable energy sources is give more subsidies to renewable energy sources
