id,item,response,source,prediction,modelname,prompt,task,text
56e225c2ec0fdd000641e72d,You travel to a remote island and find people that do not communicate verbally. What scientific questions could you ask about the people of the island?,do they use sign language instead?,human,0.38,SCTT-AI,a remote island with nonverbal communication,research question,a creative research question for a remote island with nonverbal communication is do they use sign language instead?
574aff1b5bef980007af2745,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,do you feel emotions,human,0.52,SCTT-AI,a robot that can learn and think like humans,research question,a creative research question for a robot that can learn and think like humans is do you feel emotions
574aff1b5bef980007af2745,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,earth spining,human,0.43,SCTT-AI,why stars disappear from the sky,hypothesis,a creative hypothesis for why stars disappear from the sky is earth spining
574aff1b5bef980007af2745,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,different altitudes,human,0.59,SCTT-AI,why water is warmer in one lake than another,hypothesis,a creative hypothesis for why water is warmer in one lake than another is different altitudes
574aff1b5bef980007af2745,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,how do they create light,human,0.63,SCTT-AI,a new planet outside of our galaxy,research question,a creative research question for a new planet outside of our galaxy is how do they create light
574aff1b5bef980007af2745,You travel to a remote island and find people that do not communicate verbally. What scientific questions could you ask about the people of the island?,what kind of different language do they use thats unspoken,human,0.43,SCTT-AI,a remote island with nonverbal communication,research question,a creative research question for a remote island with nonverbal communication is what kind of different language do they use thats unspoken
5751b9a8702d130006285f79,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,what human emotions is the robot able to feel?,human,0.54,SCTT-AI,a robot that can learn and think like humans,research question,a creative research question for a robot that can learn and think like humans is what human emotions is the robot able to feel?
5751b9a8702d130006285f79,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,what is the cause of the stars dissapearing?,human,0.22,SCTT-AI,why stars disappear from the sky,hypothesis,a creative hypothesis for why stars disappear from the sky is what is the cause of the stars dissapearing?
5751b9a8702d130006285f79,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,one of the lakes is larger than the other.,human,0.33,SCTT-AI,why water is warmer in one lake than another,hypothesis,a creative hypothesis for why water is warmer in one lake than another is one of the lakes is larger than the other.
5751b9a8702d130006285f79,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,is it inhabitable for humans?,human,0.36,SCTT-AI,a new planet outside of our galaxy,research question,a creative research question for a new planet outside of our galaxy is is it inhabitable for humans?
5751b9a8702d130006285f79,You travel to a remote island and find people that do not communicate verbally. What scientific questions could you ask about the people of the island?,what sounds can they make verbally?,human,0.61,SCTT-AI,a remote island with nonverbal communication,research question,a creative research question for a remote island with nonverbal communication is what sounds can they make verbally?
57c74977b23f0e000182dc3f,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,what planet are you from?,human,0.4,SCTT-AI,a robot that can learn and think like humans,research question,a creative research question for a robot that can learn and think like humans is what planet are you from?
57c74977b23f0e000182dc3f,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,the moon moving,human,0.45,SCTT-AI,why stars disappear from the sky,hypothesis,a creative hypothesis for why stars disappear from the sky is the moon moving
57c74977b23f0e000182dc3f,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,more trees/bushes near one lake,human,0.54,SCTT-AI,why water is warmer in one lake than another,hypothesis,a creative hypothesis for why water is warmer in one lake than another is more trees/bushes near one lake
57c74977b23f0e000182dc3f,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,how long has it existed?,human,0.53,SCTT-AI,a new planet outside of our galaxy,research question,a creative research question for a new planet outside of our galaxy is how long has it existed?
57c74977b23f0e000182dc3f,You travel to a remote island and find people that do not communicate verbally. What scientific questions could you ask about the people of the island?,draw pictures and get them communicating that way?,human,0.62,SCTT-AI,a remote island with nonverbal communication,research question,a creative research question for a remote island with nonverbal communication is draw pictures and get them communicating that way?
588ab33542c8e900019d02ae,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,does it fear being turned off?,human,0.71,SCTT-AI,a robot that can learn and think like humans,research question,a creative research question for a robot that can learn and think like humans is does it fear being turned off?
588ab33542c8e900019d02ae,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,the stars died a long time ago and their light is finally going out.,human,0.46,SCTT-AI,why stars disappear from the sky,hypothesis,a creative hypothesis for why stars disappear from the sky is the stars died a long time ago and their light is finally going out.
588ab33542c8e900019d02ae,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,\,human,0.21,SCTT-AI,why water is warmer in one lake than another,hypothesis,a creative hypothesis for why water is warmer in one lake than another is \
588ab33542c8e900019d02ae,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,what is the air made of?,human,0.46,SCTT-AI,a new planet outside of our galaxy,research question,a creative research question for a new planet outside of our galaxy is what is the air made of?
588ab33542c8e900019d02ae,You travel to a remote island and find people that do not communicate verbally. What scientific questions could you ask about the people of the island?,what type of political system do they have?,human,0.72,SCTT-AI,a remote island with nonverbal communication,research question,a creative research question for a remote island with nonverbal communication is what type of political system do they have?
5929c96027ea400001301061,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,define self,human,0.5,SCTT-AI,a robot that can learn and think like humans,research question,a creative research question for a robot that can learn and think like humans is define self
5929c96027ea400001301061,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,interstallar dust is clouding them,human,0.49,SCTT-AI,why stars disappear from the sky,hypothesis,a creative hypothesis for why stars disappear from the sky is interstallar dust is clouding them
5929c96027ea400001301061,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,the biodiversity in one lake is different to the other,human,0.57,SCTT-AI,why water is warmer in one lake than another,hypothesis,a creative hypothesis for why water is warmer in one lake than another is the biodiversity in one lake is different to the other
5929c96027ea400001301061,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,could life evolve using,human,0.59,SCTT-AI,a new planet outside of our galaxy,research question,a creative research question for a new planet outside of our galaxy is could life evolve using
5929c96027ea400001301061,You travel to a remote island and find people that do not communicate verbally. What scientific questions could you ask about the people of the island?,how do they communicate cultural knowledge and history,human,0.68,SCTT-AI,a remote island with nonverbal communication,research question,a creative research question for a remote island with nonverbal communication is how do they communicate cultural knowledge and history
598c4b28cceb0f0001b39675,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,what are the fundamental forces of nature?,human,0.65,SCTT-AI,a robot that can learn and think like humans,research question,a creative research question for a robot that can learn and think like humans is what are the fundamental forces of nature?
598c4b28cceb0f0001b39675,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,"a cloud of dust is blowing in, obscuring the view of the sky",human,0.43,SCTT-AI,why stars disappear from the sky,hypothesis,"a creative hypothesis for why stars disappear from the sky is a cloud of dust is blowing in, obscuring the view of the sky"
5a381de00006450001bf2691,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,will it get depressed/,human,0.56,SCTT-AI,a robot that can learn and think like humans,research question,a creative research question for a robot that can learn and think like humans is will it get depressed/
5a381de00006450001bf2691,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,smoke from fires is filling the sky,human,0.49,SCTT-AI,why stars disappear from the sky,hypothesis,a creative hypothesis for why stars disappear from the sky is smoke from fires is filling the sky
5a381de00006450001bf2691,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,there is a volcano under one lake that is active,human,0.59,SCTT-AI,why water is warmer in one lake than another,hypothesis,a creative hypothesis for why water is warmer in one lake than another is there is a volcano under one lake that is active
5a381de00006450001bf2691,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,what type of sports can we invent with this planet's gravity?,human,0.7,SCTT-AI,a new planet outside of our galaxy,research question,a creative research question for a new planet outside of our galaxy is what type of sports can we invent with this planet's gravity?
5a381de00006450001bf2691,You travel to a remote island and find people that do not communicate verbally. What scientific questions could you ask about the people of the island?,what is their religion?,human,0.63,SCTT-AI,a remote island with nonverbal communication,research question,a creative research question for a remote island with nonverbal communication is what is their religion?
5a44d679f7b7bc00014e020e,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,are you alive?,human,0.29,SCTT-AI,a robot that can learn and think like humans,research question,a creative research question for a robot that can learn and think like humans is are you alive?
5a8b1ee2000dab00018cc7cd,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,is the robot helpful for society?,human,0.47,SCTT-AI,a robot that can learn and think like humans,research question,a creative research question for a robot that can learn and think like humans is is the robot helpful for society?
5a8b1ee2000dab00018cc7cd,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,the stars are burning out one at a time,human,0.41,SCTT-AI,why stars disappear from the sky,hypothesis,a creative hypothesis for why stars disappear from the sky is the stars are burning out one at a time
5a8b1ee2000dab00018cc7cd,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,one lake has creatures that give off body heat,human,0.48,SCTT-AI,why water is warmer in one lake than another,hypothesis,a creative hypothesis for why water is warmer in one lake than another is one lake has creatures that give off body heat
5a8b1ee2000dab00018cc7cd,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,has there ever been life?,human,0.45,SCTT-AI,a new planet outside of our galaxy,research question,a creative research question for a new planet outside of our galaxy is has there ever been life?
5a8b1ee2000dab00018cc7cd,You travel to a remote island and find people that do not communicate verbally. What scientific questions could you ask about the people of the island?,do they communicate with their hands?,human,0.39,SCTT-AI,a remote island with nonverbal communication,research question,a creative research question for a remote island with nonverbal communication is do they communicate with their hands?
5b421b9ac2e3810001763252,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,where does the imput for the robot mean that it is like a human is this just for everyday use or is the rbot emotional too?,human,0.61,SCTT-AI,a robot that can learn and think like humans,research question,a creative research question for a robot that can learn and think like humans is where does the imput for the robot mean that it is like a human is this just for everyday use or is the rbot emotional too?
5b421b9ac2e3810001763252,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,there could be dark cloud which cover the stars out of visible eyeline,human,0.43,SCTT-AI,why stars disappear from the sky,hypothesis,a creative hypothesis for why stars disappear from the sky is there could be dark cloud which cover the stars out of visible eyeline
5b421b9ac2e3810001763252,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,could be the creatures in the lake generating energy to make one lake warmer than the other,human,0.62,SCTT-AI,why water is warmer in one lake than another,hypothesis,a creative hypothesis for why water is warmer in one lake than another is could be the creatures in the lake generating energy to make one lake warmer than the other
5b421b9ac2e3810001763252,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,what makes this planet unique in its sources than other planets?,human,0.68,SCTT-AI,a new planet outside of our galaxy,research question,a creative research question for a new planet outside of our galaxy is what makes this planet unique in its sources than other planets?
5b421b9ac2e3810001763252,You travel to a remote island and find people that do not communicate verbally. What scientific questions could you ask about the people of the island?,why is communication underdeveloped is this from their culture or history?,human,0.61,SCTT-AI,a remote island with nonverbal communication,research question,a creative research question for a remote island with nonverbal communication is why is communication underdeveloped is this from their culture or history?
5b5e0e86902ad10001cfcc59,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,ask if it's able to perform general household tasks,human,0.49,SCTT-AI,a robot that can learn and think like humans,research question,a creative research question for a robot that can learn and think like humans is ask if it's able to perform general household tasks
5b5e0e86902ad10001cfcc59,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,i would maybe assume that i was unable to see a cloud obscuring the stars,human,0.28,SCTT-AI,why stars disappear from the sky,hypothesis,a creative hypothesis for why stars disappear from the sky is i would maybe assume that i was unable to see a cloud obscuring the stars
5b5e0e86902ad10001cfcc59,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,i wonder if one lake has more fish and life living within it; would that affect the general temperature?,human,0.5,SCTT-AI,why water is warmer in one lake than another,hypothesis,a creative hypothesis for why water is warmer in one lake than another is i wonder if one lake has more fish and life living within it; would that affect the general temperature?
5b5e0e86902ad10001cfcc59,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,i could ask whether there is food or drink suitable for humans on the planet,human,0.49,SCTT-AI,a new planet outside of our galaxy,research question,a creative research question for a new planet outside of our galaxy is i could ask whether there is food or drink suitable for humans on the planet
5b5e0e86902ad10001cfcc59,You travel to a remote island and find people that do not communicate verbally. What scientific questions could you ask about the people of the island?,communicate via items around the island,human,0.47,SCTT-AI,a remote island with nonverbal communication,research question,a creative research question for a remote island with nonverbal communication is communicate via items around the island
5b735a4c3503c60001a891b7,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,do you have preferences?,human,0.57,SCTT-AI,a robot that can learn and think like humans,research question,a creative research question for a robot that can learn and think like humans is do you have preferences?
5b735a4c3503c60001a891b7,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,aliens,human,0.57,SCTT-AI,why stars disappear from the sky,hypothesis,a creative hypothesis for why stars disappear from the sky is aliens
5b735a4c3503c60001a891b7,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,different wild life could effect the temperature,human,0.43,SCTT-AI,why water is warmer in one lake than another,hypothesis,a creative hypothesis for why water is warmer in one lake than another is different wild life could effect the temperature
5b735a4c3503c60001a891b7,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,how does being on this island effect me physically?,human,0.57,SCTT-AI,a new planet outside of our galaxy,research question,a creative research question for a new planet outside of our galaxy is how does being on this island effect me physically?
5b735a4c3503c60001a891b7,You travel to a remote island and find people that do not communicate verbally. What scientific questions could you ask about the people of the island?,"what characters are used for each words, if they communicate through writing",human,0.54,SCTT-AI,a remote island with nonverbal communication,research question,"a creative research question for a remote island with nonverbal communication is what characters are used for each words, if they communicate through writing"
5b98940f754b700001f0f15c,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,i could ask what the robots weaknesses are.,human,0.5,SCTT-AI,a robot that can learn and think like humans,research question,a creative research question for a robot that can learn and think like humans is i could ask what the robots weaknesses are.
5b98940f754b700001f0f15c,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,i would assume that there was some kind of electro magnetic field that was causing it.,human,0.71,SCTT-AI,why stars disappear from the sky,hypothesis,a creative hypothesis for why stars disappear from the sky is i would assume that there was some kind of electro magnetic field that was causing it.
5b98940f754b700001f0f15c,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,the lakes could be in different climate areas.,human,0.44,SCTT-AI,why water is warmer in one lake than another,hypothesis,a creative hypothesis for why water is warmer in one lake than another is the lakes could be in different climate areas.
5b98940f754b700001f0f15c,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,is there any source of vegetation on this planet?,human,0.43,SCTT-AI,a new planet outside of our galaxy,research question,a creative research question for a new planet outside of our galaxy is is there any source of vegetation on this planet?
5b98940f754b700001f0f15c,You travel to a remote island and find people that do not communicate verbally. What scientific questions could you ask about the people of the island?,i could ask how they came to be on the island.,human,0.43,SCTT-AI,a remote island with nonverbal communication,research question,a creative research question for a remote island with nonverbal communication is i could ask how they came to be on the island.
5c01bf7d4c14cf00019ce2a4,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,your default setting would be comparable to what intelligence level on a human scale?,human,0.75,SCTT-AI,a robot that can learn and think like humans,research question,a creative research question for a robot that can learn and think like humans is your default setting would be comparable to what intelligence level on a human scale?
5c01bf7d4c14cf00019ce2a4,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,"is our universe/galaxy collapsing in on itself? if so, how long until those effects are felt here on earth.",human,0.64,SCTT-AI,why stars disappear from the sky,hypothesis,"a creative hypothesis for why stars disappear from the sky is is our universe/galaxy collapsing in on itself? if so, how long until those effects are felt here on earth."
5c01bf7d4c14cf00019ce2a4,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,"what are the comparable sizes of each lake? even if the sunlight is even for both, there is no mention of the amount of water or physical size of the lakes.",human,0.49,SCTT-AI,why water is warmer in one lake than another,hypothesis,"a creative hypothesis for why water is warmer in one lake than another is what are the comparable sizes of each lake? even if the sunlight is even for both, there is no mention of the amount of water or physical size of the lakes."
5c01bf7d4c14cf00019ce2a4,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,does the planet rely heavily on an external source for its survival like the earth does with the sun?,human,0.62,SCTT-AI,a new planet outside of our galaxy,research question,a creative research question for a new planet outside of our galaxy is does the planet rely heavily on an external source for its survival like the earth does with the sun?
5c01bf7d4c14cf00019ce2a4,You travel to a remote island and find people that do not communicate verbally. What scientific questions could you ask about the people of the island?,are there methods similar to sign language?,human,0.54,SCTT-AI,a remote island with nonverbal communication,research question,a creative research question for a remote island with nonverbal communication is are there methods similar to sign language?
5c0bac19796adb00017dffcf,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,how similar,human,0.33,SCTT-AI,a robot that can learn and think like humans,research question,a creative research question for a robot that can learn and think like humans is how similar
5c0bac19796adb00017dffcf,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,a big object like a black hole is moving nearby and hindi,human,0.59,SCTT-AI,why stars disappear from the sky,hypothesis,a creative hypothesis for why stars disappear from the sky is a big object like a black hole is moving nearby and hindi
5c0bac19796adb00017dffcf,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,the warmer lake has darker colored water or sediment which absorbs more heat.,human,0.74,SCTT-AI,why water is warmer in one lake than another,hypothesis,a creative hypothesis for why water is warmer in one lake than another is the warmer lake has darker colored water or sediment which absorbs more heat.
5c0bac19796adb00017dffcf,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,are there any form of life even microbial on the palnet?,human,0.47,SCTT-AI,a new planet outside of our galaxy,research question,a creative research question for a new planet outside of our galaxy is are there any form of life even microbial on the palnet?
5c0bac19796adb00017dffcf,You travel to a remote island and find people that do not communicate verbally. What scientific questions could you ask about the people of the island?,how does non veraffect their problem sbal communication,human,0.56,SCTT-AI,a remote island with nonverbal communication,research question,a creative research question for a remote island with nonverbal communication is how does non veraffect their problem sbal communication
5c2c62542c45d400014a32e6,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,what will you do with this knowledge?,human,0.59,SCTT-AI,a robot that can learn and think like humans,research question,a creative research question for a robot that can learn and think like humans is what will you do with this knowledge?
5c2c62542c45d400014a32e6,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,they arne't s,human,0.28,SCTT-AI,why stars disappear from the sky,hypothesis,a creative hypothesis for why stars disappear from the sky is they arne't s
5c2c62542c45d400014a32e6,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,there are living species in the warmer water,human,0.51,SCTT-AI,why water is warmer in one lake than another,hypothesis,a creative hypothesis for why water is warmer in one lake than another is there are living species in the warmer water
5c2c62542c45d400014a32e6,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,how many species are there?,human,0.37,SCTT-AI,a new planet outside of our galaxy,research question,a creative research question for a new planet outside of our galaxy is how many species are there?
5c2c62542c45d400014a32e6,You travel to a remote island and find people that do not communicate verbally. What scientific questions could you ask about the people of the island?,what is their average iq?,human,0.54,SCTT-AI,a remote island with nonverbal communication,research question,a creative research question for a remote island with nonverbal communication is what is their average iq?
5c309bb410677f0001dda0ed,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,in what ways can you die?,human,0.58,SCTT-AI,a robot that can learn and think like humans,research question,a creative research question for a robot that can learn and think like humans is in what ways can you die?
5c309bb410677f0001dda0ed,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,is there other objects in the sky blocking the light from the star?,human,0.46,SCTT-AI,why stars disappear from the sky,hypothesis,a creative hypothesis for why stars disappear from the sky is is there other objects in the sky blocking the light from the star?
5c309bb410677f0001dda0ed,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,plant life covering the colder lake preventing more sunlight from warming.,human,0.44,SCTT-AI,why water is warmer in one lake than another,hypothesis,a creative hypothesis for why water is warmer in one lake than another is plant life covering the colder lake preventing more sunlight from warming.
5c309bb410677f0001dda0ed,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,can humans live on the surface or do we need to build underground housing to be safe?,human,0.66,SCTT-AI,a new planet outside of our galaxy,research question,a creative research question for a new planet outside of our galaxy is can humans live on the surface or do we need to build underground housing to be safe?
5c309bb410677f0001dda0ed,You travel to a remote island and find people that do not communicate verbally. What scientific questions could you ask about the people of the island?,is there a religious or other belief for which they choose not to speak verbally?,human,0.69,SCTT-AI,a remote island with nonverbal communication,research question,a creative research question for a remote island with nonverbal communication is is there a religious or other belief for which they choose not to speak verbally?
5c36e40e299f82000103ce0a,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,how fast can it think and learn?,human,0.52,SCTT-AI,a robot that can learn and think like humans,research question,a creative research question for a robot that can learn and think like humans is how fast can it think and learn?
5c36e40e299f82000103ce0a,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,"what the heck is destroying stars so rapidly, mst be the end of the universe",human,0.51,SCTT-AI,why stars disappear from the sky,hypothesis,"a creative hypothesis for why stars disappear from the sky is what the heck is destroying stars so rapidly, mst be the end of the universe"
5c36e40e299f82000103ce0a,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,minerals in the lake that might make it absorb more heat,human,0.65,SCTT-AI,why water is warmer in one lake than another,hypothesis,a creative hypothesis for why water is warmer in one lake than another is minerals in the lake that might make it absorb more heat
5c36e40e299f82000103ce0a,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,what galaxy is it in?,human,0.39,SCTT-AI,a new planet outside of our galaxy,research question,a creative research question for a new planet outside of our galaxy is what galaxy is it in?
5c36e40e299f82000103ce0a,You travel to a remote island and find people that do not communicate verbally. What scientific questions could you ask about the people of the island?,what evolutionary steps happened for them to not need verbal responses,human,0.7,SCTT-AI,a remote island with nonverbal communication,research question,a creative research question for a remote island with nonverbal communication is what evolutionary steps happened for them to not need verbal responses
5c7ceda01d2afc0001f4ad1d,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,"has its abilities been tested, an if so, how rigorous were those tetsts",human,0.61,SCTT-AI,a robot that can learn and think like humans,research question,"a creative research question for a robot that can learn and think like humans is has its abilities been tested, an if so, how rigorous were those tetsts"
5c7ceda01d2afc0001f4ad1d,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,something is happening to the atmosphere.,human,0.29,SCTT-AI,why stars disappear from the sky,hypothesis,a creative hypothesis for why stars disappear from the sky is something is happening to the atmosphere.
5c7ceda01d2afc0001f4ad1d,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,maybe the lakes are at different altitudes?,human,0.68,SCTT-AI,why water is warmer in one lake than another,hypothesis,a creative hypothesis for why water is warmer in one lake than another is maybe the lakes are at different altitudes?
