entity_id,prompt,response,task,source,word_count
gemini_002,mirror-face-reflection,"She leaned toward the silvered mirror to inspect the bruise. A different face stared back with a haunting, knowing smile. Her reflection had ceased to mimic her movements entirely. Fear chilled her blood as she realized she was no longer alone.",Story,gemini,41
gemini_002,BRICK,"Use it as a heavy-duty, industrial-chic bookend for a sprawling collection of hardcover novels.",AUT,gemini,14
gemini_002,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,"Install a modular, voice-activated platform that glides along a low-profile electromagnetic rail integrated into the existing staircase banister.",Design,gemini,18
gemini_002,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,"The warmer lake may be fed by subterranean geothermal springs or possess a dark, basaltic bed that absorbs significantly more thermal energy than the other lake's sandy bottom.",SCTT-Hypothesis,gemini,28
gemini_002,bridge-river-cross,"The stone bridge groaned under the weight of the autumn wind. Below, the river churned with white-capped fury. They needed to cross before the storm broke the banks. One careful step at a time, they braved the narrow path to safety.",Story,gemini,41
gemini_002,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,How does the robot’s neural architecture simulate the biological process of synaptic pruning to prioritize long-term memory over trivial sensory input?,SCTT-ResearchQuestion,gemini,21
gemini_002,KNIFE,"Use the flat, polished side of a stainless steel blade as an emergency signaling mirror to reflect sunlight toward rescuers.",AUT,gemini,20
gemini_002,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,Does the planet’s magnetosphere exhibit unique spectral signatures indicating interaction with the intergalactic medium rather than a standard galactic solar wind?,SCTT-ResearchQuestion,gemini,21
gemini_003,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,Implement a network of underground automated freight conveyor belts to remove all commercial delivery vehicles from surface streets.,Design,gemini,18
gemini_003,PENCIL,Rub the pencil lead onto a stuck zipper to use the graphite as a dry lubricant.,AUT,gemini,16
gemini_003,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,"A vast, localized cloud of non-reflective interstellar dust is drifting between Earth and the distant stars, obscuring their light as it moves.",SCTT-Hypothesis,gemini,22
gemini_003,BRICK,Place a brick inside a toilet's water tank to displace volume and reduce the amount of water used during every flush.,AUT,gemini,21
gemini_003,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,Does the robot’s neural architecture undergo a biological-style synaptic pruning process during inactive cycles to optimize its long-term memory storage?,SCTT-ResearchQuestion,gemini,20
gemini_003,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,Utilize augmented reality glasses that overlay glowing paths and floating instructions directly onto household objects to guide users through daily routines.,Design,gemini,21
gemini_003,key-door-lock,"The old brass key felt heavy in his trembling hand. He slid it into the rusty lock, hearing a satisfying click. The heavy oak door groaned as it finally swung open. Secrets hidden for decades were finally revealed.",Story,gemini,38
gemini_003,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,How does the elemental composition of this planet's crust differ from Earth's given its formation in a galaxy with a significantly lower metallicity gradient?,SCTT-ResearchQuestion,gemini,24
gemini_003,Develop as many design ideas as you can to increase the use of renewable energy sources.,Apply transparent solar-harvesting film to all skyscraper windows to transform urban skylines into massive vertical power plants.,Design,gemini,17
gemini_003,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,"Install modular, high-pressure inflatable ramps that deploy instantly via smartphone to provide a smooth incline over existing urban staircases.",Design,gemini,19
gemini_003,BUCKET,Flip the bucket upside down to use as a makeshift djembe drum for an impromptu street performance.,AUT,gemini,17
gemini_003,KNIFE,Use the flat side of a dull blade to crush garlic cloves effortlessly against a cutting board.,AUT,gemini,17
gemini_003,pen-paper-story,"She pressed the ink-stained pen against the crisp white paper. Every stroke breathed life into a brand new story. The characters danced through the margins of the page. By dawn, a whole world had been born.",Story,gemini,36
gemini_003,mirror-face-reflection,"He stood silently before the silvered mirror. A strange face stared back, mimicking his every blink. The reflection seemed to hold a secret he had long forgotten. He touched the cold glass, but the image didn't flinch.",Story,gemini,37
gemini_003,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,"The warmer lake may be situated over a localized geothermal vent or possess a darker, high-albedo sediment bed that absorbs more thermal energy.",SCTT-Hypothesis,gemini,23
gemini_003,bridge-river-cross,"A narrow stone bridge stretched across the churning river. Travelers hesitated to cross the slippery, moss-covered path. Below, the water roared against the ancient pillars. One brave soul finally stepped forward into the mist.",Story,gemini,34
gemini_004,Develop as many design ideas as you can to increase the use of renewable energy sources.,Integrate transparent solar harvesters into all skyscraper windows to turn city skylines into vertical power plants.,Design,gemini,16
gemini_004,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,How does the robot's architectural framework manage the biological-equivalent trade-off between synaptic plasticity and long-term memory stability?,SCTT-ResearchQuestion,gemini,17
gemini_004,PENCIL,Use the graphite core as an emergency dry lubricant for a stuck mechanical zipper.,AUT,gemini,14
gemini_004,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,"Augmented reality glasses that project holographic ""breadcrumb"" trails leading to the location of frequently misplaced items or scheduled tasks.",Design,gemini,19
gemini_004,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,"A dynamic, modular transit system where individual autonomous pods merge into high-speed platoons on main arteries and detach for neighborhood delivery.",Design,gemini,21
gemini_004,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,"A portable, retractable tread attachment for wheelchairs that utilizes planetary wheel sets to climb standard steps.",Design,gemini,16
gemini_004,KNIFE,"Using the flat, polished side of a blade as an emergency signal mirror for rescue teams.",AUT,gemini,16
gemini_004,bridge-river-cross,"The ancient stone bridge groaned under the weight of the traveler. Below, the rushing river roared with hungry impatience. He had to cross before the storm arrived. One final leap secured his safety on the far bank.",Story,gemini,37
gemini_004,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,Does the planet’s magnetosphere show evidence of interaction with intergalactic medium particles unique to its host galaxy's specific chemical evolution?,SCTT-ResearchQuestion,gemini,20
gemini_004,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,The warmer lake likely possesses a darker bed composition or higher turbidity that absorbs and retains more thermal energy from solar radiation.,SCTT-Hypothesis,gemini,22
gemini_004,BUCKET,Invert the bucket to serve as a makeshift acoustic resonance chamber for a street musician’s percussion set.,AUT,gemini,17
gemini_004,key-door-lock,"The silver key felt cold in her trembling hand. She inserted it slowly into the rusted lock. With a sharp click, the heavy door finally yielded. Her journey into the past had only just begun.",Story,gemini,35
gemini_004,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,"A dense, non-reflective cloud of interstellar dust is drifting through the local quadrant and obscuring the line of sight to the background stars.",SCTT-Hypothesis,gemini,23
gemini_004,BRICK,Wrap a brick in heavy fabric to use as a high-thermal-mass bed warmer after heating it in a low oven.,AUT,gemini,20
gemini_004,mirror-face-reflection,"He wiped the steam from the cold mirror. A strange, unfamiliar face stared back at him through the glass. The reflection mimicked his movements with a slight, terrifying delay. He realized the image was no longer his own.",Story,gemini,38
gemini_004,pen-paper-story,"Her pen raced across the yellowed paper. Each stroke birthed a new chapter of an epic story. Ink spilled like blood onto the rough surface. By dawn, the tale was finally complete and the characters were free.",Story,gemini,37
gemini_005,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,"An ultra-dense, non-reflective interstellar dust cloud is drifting across our line of sight, progressively obscuring distant starlight.",SCTT-Hypothesis,gemini,17
gemini_005,BRICK,"Heat a brick and wrap it in a towel to use as a rustic, long-lasting foot warmer on a cold night.",AUT,gemini,21
gemini_005,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,"Implement a system of modular, automated transport pods that attach to magnetic rails suspended above existing roadways.",Design,gemini,17
gemini_005,key-door-lock,"The rusty key felt heavy in her trembling hand. She guided it slowly into the narrow opening of the ancient lock. With a sharp click, the heavy oak door finally yielded. Beyond it lay a room untouched by time for a century.",Story,gemini,42
gemini_005,pen-paper-story,"He gripped the silver pen until his knuckles turned white. Blank paper stared back, mocking his silence with its stark whiteness. Suddenly, the first word flowed like ink from a dam. A grand story began to weave itself across the page.",Story,gemini,41
gemini_005,KNIFE,"Use the flat, polished side of a stainless steel blade as a makeshift emergency signal mirror to reflect sunlight toward rescuers.",AUT,gemini,21
gemini_005,BUCKET,Flip the bucket upside down and use the bottom as a resonant bass drum for a street-side percussion performance.,AUT,gemini,19
gemini_005,Develop as many design ideas as you can to increase the use of renewable energy sources.,Integrate piezoelectric crystals into high-traffic city sidewalks to harvest electricity from the kinetic energy of millions of daily footsteps.,Design,gemini,19
gemini_005,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,To what extent does the robot’s neural architecture replicate the biochemical mechanisms of human neuroplasticity during the formation of long-term episodic memories?,SCTT-ResearchQuestion,gemini,22
gemini_005,mirror-face-reflection,"She stood before the silvered mirror in the dim hallway. A familiar face stared back, yet the eyes seemed to belong to a stranger. Her reflection didn't blink when she did, remaining perfectly still. She realized then that the glass was no longer a simple barrier.",Story,gemini,46
gemini_005,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,Wearable augmented reality glasses that overlay digital name tags and step-by-step instructional prompts onto real-world objects in the user's field of view.,Design,gemini,22
gemini_005,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,Does the isotopic composition of the planet’s atmosphere suggest a stellar nucleosynthesis process significantly different from the chemical evolution observed within the Milky Way?,SCTT-ResearchQuestion,gemini,24
gemini_005,bridge-river-cross,"The suspension bridge swayed violently above the churning grey river. He knew he had to cross before the storm's peak reached the valley. Each step on the wet planks felt like a gamble with fate. Finally, his boots hit the solid earth of the far bank.",Story,gemini,46
gemini_005,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,The warmer lake may be situated over a localized geothermal vent or a shallow subterranean magma chamber that provides supplemental heat from the Earth's interior.,SCTT-Hypothesis,gemini,25
gemini_005,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,"Install staircases with treads that can flatten into a synchronized, continuous incline conveyor belt at the touch of a button.",Design,gemini,20
gemini_005,PENCIL,Rub the graphite tip of the pencil against a sticking zipper to act as a dry lubricant and help the slider move smoothly.,AUT,gemini,23
gemini_006,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,Does the planet’s atmospheric composition provide evidence of a biological history influenced by the unique radiation environment of its host galaxy?,SCTT-ResearchQuestion,gemini,21
gemini_006,bridge-river-cross,"The old stone bridge arched over the roaring river. No one dared to cross it during the storm. Only a small cat sat at the edge, waiting. Suddenly, it bounded across the wet stones with ease.",Story,gemini,36
gemini_006,PENCIL,Rub the graphite of a pencil onto the teeth of a stuck zipper to act as a dry lubricant.,AUT,gemini,19
gemini_006,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,A wearable AI necklace that uses facial recognition to whisper the names and last meeting details of people into the user’s earpiece.,Design,gemini,22
gemini_006,key-door-lock,"He fumbled with the cold metal key in the dark. The heavy wooden door stood silent and imposing. Finally, the internal lock clicked with a satisfying snap. He pushed inside to find the room exactly as he left it.",Story,gemini,39
gemini_006,Develop as many design ideas as you can to increase the use of renewable energy sources.,"Design ""energy-harvesting tiles"" for city sidewalks that convert the kinetic pressure of pedestrian footsteps into local grid electricity.",Design,gemini,18
gemini_006,KNIFE,Use the flat side of a cold knife blade as an emergency compress to reduce swelling from a minor bruise.,AUT,gemini,20
gemini_006,BUCKET,Place a smartphone inside an empty bucket to use the plastic walls as a natural acoustic amplifier for music.,AUT,gemini,19
gemini_006,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,"Create a subterranean network of high-speed, automated freight pallets to move all commercial deliveries off of surface-level city streets.",Design,gemini,19
gemini_006,pen-paper-story,"Her silver pen hovered over the crisp white paper. Every word of the story felt like a heavy secret being revealed. Ink bled into the fibers as she wrote the final line. She sighed, knowing the tale was finally free.",Story,gemini,40
gemini_006,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,The warmer lake may be situated directly above a geothermal vent that continuously transfers heat from the Earth's interior into the water.,SCTT-Hypothesis,gemini,22
gemini_006,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,"A massive, localized cloud of high-density interstellar dust is drifting between Earth and the distant star field, progressively obscuring the light.",SCTT-Hypothesis,gemini,21
gemini_006,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,"Install a set of deployable, pneumatic ramps that can flatten over existing stairs at the touch of a button to allow easy transit.",Design,gemini,23
gemini_006,mirror-face-reflection,"She stared at the silver mirror for a long time. The face looking back didn't seem like hers anymore. Her reflection blinked, but she remained perfectly still. A cold shiver ran down her spine.",Story,gemini,34
gemini_006,BRICK,Soak a porous brick in aromatic oils and place it near a heater to act as a slow-release scent diffuser for large spaces.,AUT,gemini,23
gemini_006,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,"Does the robot’s neural architecture allow for the emergence of ""dreaming"" as a method of pruning and organizing the vast datasets it acquires?",SCTT-ResearchQuestion,gemini,23
gemini_007,KNIFE,Use the flat side of the blade as a makeshift palette for mixing custom shades of lipstick or oil paints.,AUT,gemini,20
gemini_007,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,"A vast, diffuse cloud of iron-rich interstellar dust is passing through the local interstellar medium, scattering and absorbing starlight via extinction.",SCTT-Hypothesis,gemini,21
gemini_007,pen-paper-story,"He gripped the silver pen, hovering over the blank paper.
The first ink drop bled into a dark, heavy story.
Every word felt like a confession carved into the fibers.
By dawn, the desk was a graveyard of discarded beginnings.",Story,gemini,40
gemini_007,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,Context-aware jewelry that vibrates with specific haptic patterns to signal different categories of daily chores.,Design,gemini,15
gemini_007,PENCIL,Use the wooden shavings from a sharpened pencil as highly flammable tinder for starting an emergency campfire.,AUT,gemini,17
gemini_007,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,"Can the robot develop an 'unconscious' heuristic bias that mimics the intuitive, non-logical shortcuts found in human biological neural networks?",SCTT-ResearchQuestion,gemini,20
gemini_007,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,"A modular, clip-on tread system that converts standard stairs into a temporary, personal inclined platform lift.",Design,gemini,16
gemini_007,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,Implement a dynamic tolling system that rewards commuters with micro-credits for shifting their travel times to off-peak 'green zones' identified by AI.,Design,gemini,22
gemini_007,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,Does the local star’s metallicity profile suggest it was captured from a satellite galaxy rather than forming in the host galaxy’s disk?,SCTT-ResearchQuestion,gemini,22
gemini_007,Develop as many design ideas as you can to increase the use of renewable energy sources.,Integrate piezoelectric tiles into high-traffic pedestrian walkways and subway stations to generate electricity from every footstep.,Design,gemini,16
gemini_007,mirror-face-reflection,"She leaned toward the antique mirror, searching for a trace of herself.
The glass rippled, distorting her face into a stranger’s features.
Her reflection blinked when she did not, smiling a jagged, chilling grin.
She stepped back, but the image remained, watching her leave.",Story,gemini,44
gemini_007,key-door-lock,"The rusted key turned with a reluctant groan inside the heavy lock.
He pushed the heavy oak door, revealing a room swallowed by dust.
Somewhere in the shadows, a clock began to tick after decades of silence.
He realized then that some secrets were better left behind a closed entrance.",Story,gemini,50
gemini_007,BUCKET,Acoustic amplifier: place a smartphone inside a metal bucket to project and deepen the sound for a backyard gathering.,AUT,gemini,19
gemini_007,BRICK,"Soak a porous brick in fragrant oils and use it as a long-lasting, heavy-duty room diffuser.",AUT,gemini,16
gemini_007,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,The warmer lake likely has a lower albedo due to darker bottom sediments or a significantly higher concentration of suspended organic matter that traps solar heat.,SCTT-Hypothesis,gemini,26
gemini_007,bridge-river-cross,"The ancient stone bridge arched precariously over the roaring river.
Travelers whispered that to cross, one had to leave a memory behind.
Elara stepped forward, feeling her childhood home fade into the mist.
She reached the other side, lighter and entirely alone.",Story,gemini,42
gemini_008,pen-paper-story,"Leo gripped the silver pen until his knuckles turned white. He pressed the nib against the yellowed paper, letting ink bleed into the fibers. Slowly, a forgotten story began to emerge from the void. Every word carved a path through his heavy silence.",Story,gemini,43
gemini_008,BRICK,"Heated in an oven and wrapped in a thick towel, it becomes a long-lasting, rustic bed warmer for cold winter nights.",AUT,gemini,21
gemini_008,BUCKET,Turn it upside down and drill holes to create a DIY oversized percussion instrument for a street band.,AUT,gemini,18
gemini_008,bridge-river-cross,"The ancient stone bridge groaned under the weight of the evening mist. Below, the river churned with secrets better left undisturbed. Elias hesitated, knowing he had to cross before the moon peaked. One final step forward changed his fate forever.",Story,gemini,40
gemini_008,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,A bathroom floor mat with pressure sensors that triggers a vocalized reminder to take medication when the user stands at the sink each morning.,Design,gemini,24
gemini_008,KNIFE,"Use the polished flat of a chef's knife as a makeshift signaling mirror to direct sunlight into dark, hard-to-reach crevices during home repairs.",AUT,gemini,23
gemini_008,PENCIL,Rub the graphite tip over a sticky door key to provide a dry lubricant that allows it to turn smoothly in the lock.,AUT,gemini,23
gemini_008,key-door-lock,"The golden key felt unnaturally cold in her trembling palm. She slid it into the heavy iron lock, hearing a satisfying click echo through the hall. As the door swung open, a gust of ancient air greeted her. There was no turning back from what lay inside.",Story,gemini,47
gemini_008,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,Does the planet’s magnetic field provide enough protection to sustain a stable atmosphere against the intense radiation of its host star?,SCTT-ResearchQuestion,gemini,21
gemini_008,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,Does the robot’s cognitive architecture develop subjective qualia through the recursive processing of its own learning algorithms?,SCTT-ResearchQuestion,gemini,17
gemini_008,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,"A localized, high-density cloud of interstellar dust is drifting across our line of sight, progressively obscuring the light from distant star systems.",SCTT-Hypothesis,gemini,22
gemini_008,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,The warmer lake is likely situated directly over a subterranean geothermal vent that heats the water from the basin floor.,SCTT-Hypothesis,gemini,20
gemini_008,Develop as many design ideas as you can to increase the use of renewable energy sources.,Integrate transparent solar harvesting thin-films into all newly manufactured commercial and residential window glass to turn entire cities into passive power plants.,Design,gemini,22
gemini_008,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,Implement a time-staggered work system where different industry sectors operate on rotating four-hour start shifts to permanently flatten the peak rush-hour curve.,Design,gemini,22
gemini_008,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,A stair-climbing walker with independent hydraulic legs that automatically adjust to different step heights to keep the user's center of gravity stable.,Design,gemini,22
gemini_008,mirror-face-reflection,"He stared into the dusty mirror, searching for a trace of his youth. The face looking back was a map of scars and forgotten choices. His reflection blinked a second too late, sending a chill down his spine. He quickly turned away, but the image remained etched in his mind.",Story,gemini,50
gemini_009,Develop as many design ideas as you can to increase the use of renewable energy sources.,Install transparent solar-harvesting film on all skyscraper windows to turn entire city skylines into vertical power plants.,Design,gemini,17
gemini_009,bridge-river-cross,"The ancient stone bridge arched precariously over the rushing river. No traveler dared to cross the mossy stones after sunset. Kael stepped forward, his heart pounding against his ribs as the wood creaked. He finally reached the other side just as the first stars blinked awake.",Story,gemini,46
gemini_009,BUCKET,"Drill holes into the bottom of the bucket to create a rustic, industrial-style pendant light fixture.",AUT,gemini,16
gemini_009,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,How does the chemical composition of this planet's atmosphere reflect the nucleosynthesis history of its parent galaxy compared to the Milky Way?,SCTT-ResearchQuestion,gemini,22
gemini_009,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,Wearable smart glasses that use facial recognition to provide real-time holographic name tags and relationship summaries for everyone the user encounters.,Design,gemini,21
gemini_009,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,"Install modular, folding track systems on existing staircases that convert into motorized platform lifts only when activated by a wireless user sensor.",Design,gemini,22
gemini_009,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,Does the robot's architecture utilize a simulated neuro-modulatory system to replicate the influence of biological hormones on decision-making and social learning?,SCTT-ResearchQuestion,gemini,21
gemini_009,mirror-face-reflection,"She stood before the antique mirror, searching for a trace of her mother. The glass was silvered with age, blurring her own face. Suddenly, her reflection blinked even though her own eyes remained wide open. She touched the cold surface and felt a faint, rhythmic heartbeat.",Story,gemini,46
gemini_009,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,The warmer lake may be fed by subterranean geothermal vents or contain a higher concentration of dark suspended particulates that absorb more infrared radiation.,SCTT-Hypothesis,gemini,24
gemini_009,key-door-lock,"The heavy iron key felt cold in his trembling hand. He slid it into the rusted lock, hearing a satisfying, heavy click. The massive door groaned as it swung open into the thick darkness. He took a breath and stepped inside, leaving the world behind.",Story,gemini,45
gemini_009,BRICK,"Wrap a heated brick in a thick towel to serve as a long-lasting, portable foot warmer for cold winter nights.",AUT,gemini,20
gemini_009,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,"A massive, diffuse cloud of interstellar dust is drifting between Earth and that specific region of space, gradually obscuring the light from the stars behind it.",SCTT-Hypothesis,gemini,26
gemini_009,pen-paper-story,"He picked up the fountain pen, its nib gleaming under the dim lamp. The blank paper seemed to wait with bated breath for the first stroke. As he began to write, a story of forgotten kings emerged from the dark ink. Each sentence built a world he never wanted to leave.",Story,gemini,51
gemini_009,KNIFE,Use the back edge of a carbon steel knife as a makeshift striker against a ferrocerium rod to produce sparks for an emergency fire.,AUT,gemini,24
gemini_009,PENCIL,Rub the graphite tip of a pencil onto a metal key to act as a dry lubricant for a stubborn or sticky lock.,AUT,gemini,23
gemini_009,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,"Implement a network of autonomous, modular transit pods that travel on dedicated magnetic rails suspended above existing city streets.",Design,gemini,19
gemini_010,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,Does the robot’s neural architecture utilize a synthetic analog to synaptic pruning to optimize its learning efficiency as it matures?,SCTT-ResearchQuestion,gemini,20
gemini_010,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,"The warmer lake likely has a darker benthos or higher turbidity, which increases the absorption of solar radiation compared to the clearer or lighter-bottomed lake.",SCTT-Hypothesis,gemini,25
gemini_010,KNIFE,Use the polished flat side of the blade as an emergency signaling mirror to reflect sunlight toward rescuers.,AUT,gemini,18
gemini_010,BUCKET,Flip it over and use the bottom as a rhythmic percussion instrument for a street-style drum performance.,AUT,gemini,17
gemini_010,BRICK,"Heat the brick in an oven and wrap it in a heavy towel to serve as a long-lasting, rustic bed warmer.",AUT,gemini,21
gemini_010,pen-paper-story,"The old pen leaked ink onto the dusty paper. Every blotch seemed to tell its own secret story. He watched the black pools expand like tiny oceans. Soon, the entire page was a dark, unwritten history.",Story,gemini,36
gemini_010,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,Smart glasses that use facial recognition to whisper names and recent conversation topics into the user’s ear via bone conduction.,Design,gemini,20
gemini_010,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,Does the planet's atmospheric composition suggest a biochemical cycle that relies on an element other than carbon or oxygen?,SCTT-ResearchQuestion,gemini,19
gemini_010,Develop as many design ideas as you can to increase the use of renewable energy sources.,Install piezoelectric floor tiles in high-traffic metro stations to capture and convert kinetic energy from commuters into electricity.,Design,gemini,18
