_state,id,researcher_id,experiment_id,participant_id,trial_num,item_id,item,response,timelimit,word_count,task_type,time_per_trial,left_page,created_at,item_unified,response_unified,google_creativity,anthropic_creativity,xai_creativity,kimi_creativity,mistral_creativity,prediction,modelname,text
<django.db.models.base.ModelState object at 0x7f236ed992d0>,54300,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,50,aut-8,KNIFE,environmental engraving pen,Submitted,3,Alternate Uses Task,120,0,2026-01-07 00:08:19.198678+00:00,KNIFE,environmental engraving pen,25.0,28.0,45.0,nan,nan,0.58,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: environmental engraving pen"
<django.db.models.base.ModelState object at 0x7f236ed99360>,54301,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,51,aut-8,KNIFE,animal trap,Submitted,2,Alternate Uses Task,120,0,2026-01-07 00:08:19.202982+00:00,KNIFE,animal trap,30.0,28.0,18.0,nan,nan,0.56,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: animal trap"
<django.db.models.base.ModelState object at 0x7f236ed993f0>,54302,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,52,aut-8,KNIFE,pencil and arrow sharpner,Submitted,4,Alternate Uses Task,120,0,2026-01-07 00:08:19.206992+00:00,KNIFE,pencil and arrow sharpner,30.0,28.0,45.0,nan,nan,0.55,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: pencil and arrow sharpner"
<django.db.models.base.ModelState object at 0x7f236ed99510>,54304,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,54,aut-10,PENCIL,ear cleaner,Submitted,2,Alternate Uses Task,120,2,2026-01-07 00:10:23.091922+00:00,PENCIL,ear cleaner,15.0,28.0,35.0,nan,nan,0.49,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: ear cleaner"
<django.db.models.base.ModelState object at 0x7f236ed995a0>,54305,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,55,aut-10,PENCIL,firewood,Submitted,1,Alternate Uses Task,120,2,2026-01-07 00:10:23.106529+00:00,PENCIL,firewood,20.0,28.0,25.0,nan,nan,0.52,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: firewood"
<django.db.models.base.ModelState object at 0x7f236ed99630>,54306,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,56,aut-10,PENCIL,drumsticks,Submitted,1,Alternate Uses Task,120,4,2026-01-07 00:10:23.111247+00:00,PENCIL,drumsticks,25.0,38.0,35.0,nan,nan,0.61,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: drumsticks"
<django.db.models.base.ModelState object at 0x7f236ed99750>,54308,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,58,aut-13,SOCK,compression for wounds,Submitted,3,Alternate Uses Task,120,1,2026-01-07 00:12:27.120548+00:00,SOCK,compression for wounds,20.0,28.0,35.0,nan,nan,0.62,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: compression for wounds"
<django.db.models.base.ModelState object at 0x7f236ed997e0>,54309,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,59,aut-13,SOCK,headband,Submitted,1,Alternate Uses Task,120,1,2026-01-07 00:12:27.125591+00:00,SOCK,headband,25.0,28.0,35.0,nan,nan,0.55,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: headband"
<django.db.models.base.ModelState object at 0x7f236ed99870>,54310,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,60,aut-13,SOCK,little sack to carry goods,Submitted,5,Alternate Uses Task,120,1,2026-01-07 00:12:27.129823+00:00,SOCK,little sack to carry goods,20.0,12.0,10.0,nan,nan,0.5,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: little sack to carry goods"
<django.db.models.base.ModelState object at 0x7f236ed99900>,54311,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,61,aut-13,SOCK,twist it and use as dog play toy,Submitted,8,Alternate Uses Task,120,1,2026-01-07 00:12:27.133915+00:00,SOCK,twist it and use as dog play toy,20.0,18.0,35.0,nan,nan,0.56,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: twist it and use as dog play toy"
<django.db.models.base.ModelState object at 0x7f236ed99990>,54312,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,62,aut-13,SOCK,cleaning cloth,Submitted,2,Alternate Uses Task,120,1,2026-01-07 00:12:27.138273+00:00,SOCK,cleaning cloth,20.0,12.0,10.0,nan,nan,0.44,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: cleaning cloth"
<django.db.models.base.ModelState object at 0x7f236ed99ab0>,54314,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,64,aut-2,BRICK,weight to train wrists,Submitted,4,Alternate Uses Task,120,0,2026-01-07 00:14:30.773490+00:00,BRICK,weight to train wrists,20.0,18.0,35.0,nan,nan,0.49,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: weight to train wrists"
<django.db.models.base.ModelState object at 0x7f236ed99b40>,54315,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,65,aut-2,BRICK,door stop,Submitted,2,Alternate Uses Task,120,0,2026-01-07 00:14:30.778824+00:00,BRICK,door stop,10.0,15.0,35.0,nan,nan,0.47,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: door stop"
<django.db.models.base.ModelState object at 0x7f236ed99bd0>,54316,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,66,aut-2,BRICK,mini table for one plate,Submitted,5,Alternate Uses Task,120,1,2026-01-07 00:14:30.783593+00:00,BRICK,Mini table for one plate,30.0,28.0,35.0,nan,nan,0.49,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: mini table for one plate"
<django.db.models.base.ModelState object at 0x7f236ed99cf0>,54318,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,68,aut-4,BUCKET,rain catcher,Submitted,2,Alternate Uses Task,120,0,2026-01-07 00:16:36.011845+00:00,BUCKET,rain catcher,15.0,18.0,35.0,nan,nan,0.38,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: rain catcher"
<django.db.models.base.ModelState object at 0x7f236ed99d80>,54319,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,69,aut-4,BUCKET,hat,Submitted,1,Alternate Uses Task,120,0,2026-01-07 00:16:36.017782+00:00,BUCKET,hat,20.0,12.0,25.0,nan,nan,0.48,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: hat"
<django.db.models.base.ModelState object at 0x7f236ed99e10>,54320,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,70,aut-4,BUCKET,drum,Submitted,1,Alternate Uses Task,120,0,2026-01-07 00:16:36.021751+00:00,BUCKET,drum,20.0,12.0,20.0,nan,nan,0.57,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: drum"
<django.db.models.base.ModelState object at 0x7f236ed99ea0>,54321,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,71,aut-4,BUCKET,shopping basket,Submitted,2,Alternate Uses Task,120,0,2026-01-07 00:16:36.025673+00:00,BUCKET,shopping basket,15.0,12.0,10.0,nan,nan,0.46,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: shopping basket"
<django.db.models.base.ModelState object at 0x7f236ed99f30>,54322,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,72,aut-4,BUCKET,toilet,Submitted,1,Alternate Uses Task,120,0,2026-01-07 00:16:36.029584+00:00,BUCKET,toilet,20.0,15.0,35.0,nan,nan,0.53,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: toilet"
<django.db.models.base.ModelState object at 0x7f236ed99fc0>,54323,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,73,aut-4,BUCKET,food mixer,Submitted,2,Alternate Uses Task,120,0,2026-01-07 00:16:36.033480+00:00,BUCKET,food mixer,20.0,15.0,22.0,nan,nan,0.39,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: food mixer"
<django.db.models.base.ModelState object at 0x7f236ed9a050>,54324,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,74,aut-4,BUCKET,bowl,Submitted,1,Alternate Uses Task,120,0,2026-01-07 00:16:36.037442+00:00,BUCKET,bowl,10.0,12.0,20.0,nan,nan,0.4,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: bowl"
<django.db.models.base.ModelState object at 0x7f236ed9bd00>,54375,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,50,aut-10,PENCIL,firewood,Submitted,1,Alternate Uses Task,120,0,2026-01-07 01:20:14.143498+00:00,PENCIL,firewood,20.0,28.0,35.0,nan,nan,0.52,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: firewood"
<django.db.models.base.ModelState object at 0x7f236ed9bd90>,54376,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,51,aut-10,PENCIL,shiv,Submitted,1,Alternate Uses Task,120,0,2026-01-07 01:20:14.149215+00:00,PENCIL,shiv,35.0,28.0,45.0,nan,nan,0.48,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: shiv"
<django.db.models.base.ModelState object at 0x7f236ed9be20>,54377,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,52,aut-10,PENCIL,nose picker,Submitted,2,Alternate Uses Task,120,0,2026-01-07 01:20:14.153253+00:00,PENCIL,nose picker,15.0,28.0,35.0,nan,nan,0.56,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: nose picker"
<django.db.models.base.ModelState object at 0x7f236ed9beb0>,54378,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,53,aut-10,PENCIL,balloon popper,Submitted,2,Alternate Uses Task,120,0,2026-01-07 01:20:14.157462+00:00,PENCIL,balloon popper,20.0,28.0,35.0,nan,nan,0.45,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: balloon popper"
<django.db.models.base.ModelState object at 0x7f236ed9bf40>,54379,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,54,aut-10,PENCIL,clay carving tool,Submitted,3,Alternate Uses Task,120,0,2026-01-07 01:20:14.162102+00:00,PENCIL,clay carving tool,30.0,28.0,35.0,nan,nan,0.49,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: clay carving tool"
<django.db.models.base.ModelState object at 0x7f236ed9bfd0>,54380,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,55,aut-10,PENCIL,ice pick,Submitted,2,Alternate Uses Task,120,0,2026-01-07 01:20:14.166122+00:00,PENCIL,ice pick,20.0,28.0,35.0,nan,nan,0.49,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: ice pick"
<django.db.models.base.ModelState object at 0x7f23c3dfc130>,54382,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,57,aut-2,BRICK,paperweight,Submitted,1,Alternate Uses Task,120,0,2026-01-07 01:22:20.742517+00:00,BRICK,paperweight,15.0,18.0,35.0,nan,nan,0.39,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: paperweight"
<django.db.models.base.ModelState object at 0x7f23c3dfc1c0>,54383,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,58,aut-2,BRICK,chalk (drawing on asphalt with it),Submitted,6,Alternate Uses Task,120,0,2026-01-07 01:22:20.751217+00:00,BRICK,chalk (drawing on asphalt with it),30.0,28.0,35.0,nan,nan,0.62,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: chalk (drawing on asphalt with it)"
<django.db.models.base.ModelState object at 0x7f23c3dfc250>,54384,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,59,aut-2,BRICK,ankleweight,Submitted,1,Alternate Uses Task,120,0,2026-01-07 01:22:20.755877+00:00,BRICK,ankleweight,30.0,28.0,35.0,nan,nan,0.53,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: ankleweight"
<django.db.models.base.ModelState object at 0x7f23c3dfc2e0>,54385,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,60,aut-2,BRICK,crush and use as toothpaste,Submitted,5,Alternate Uses Task,120,0,2026-01-07 01:22:20.759856+00:00,BRICK,crush and use as toothpaste,35.0,28.0,45.0,nan,nan,0.56,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: crush and use as toothpaste"
<django.db.models.base.ModelState object at 0x7f23c3dfc370>,54386,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,61,aut-2,BRICK,paint it and pretend it's gold,Submitted,7,Alternate Uses Task,120,0,2026-01-07 01:22:20.763838+00:00,BRICK,paint it and pretend it's gold,25.0,18.0,35.0,nan,nan,0.62,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: paint it and pretend it's gold"
<django.db.models.base.ModelState object at 0x7f23c3dfc400>,54387,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,62,aut-2,BRICK,smash food (crackers for pie crust or so),Submitted,8,Alternate Uses Task,120,0,2026-01-07 01:22:20.767696+00:00,BRICK,smash food (crackers for pie crust or so),30.0,15.0,35.0,nan,nan,0.54,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: smash food (crackers for pie crust or so)"
<django.db.models.base.ModelState object at 0x7f23c3dfc520>,54389,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,64,aut-13,SOCK,choke a small animal,Submitted,4,Alternate Uses Task,120,0,2026-01-07 01:24:29.743985+00:00,SOCK,choke a small animal,10.0,10.0,10.0,nan,nan,0.54,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: choke a small animal"
<django.db.models.base.ModelState object at 0x7f23c3dfc5b0>,54390,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,65,aut-13,SOCK,place food inside and beat it on a hard surface (to puree),Submitted,12,Alternate Uses Task,120,0,2026-01-07 01:24:29.751646+00:00,SOCK,place food inside and beat it on a hard surface (to puree),40.0,28.0,35.0,nan,nan,0.43,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: place food inside and beat it on a hard surface (to puree)"
<django.db.models.base.ModelState object at 0x7f23c3dfc640>,54391,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,66,aut-13,SOCK,ponytail holder,Submitted,2,Alternate Uses Task,120,0,2026-01-07 01:24:29.755714+00:00,SOCK,ponytail holder,30.0,28.0,45.0,nan,nan,0.54,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: ponytail holder"
<django.db.models.base.ModelState object at 0x7f23c3dfc6d0>,54392,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,67,aut-13,SOCK,place over infant's hands to prevent from accidental self-scratching,Submitted,11,Alternate Uses Task,120,0,2026-01-07 01:24:29.760219+00:00,SOCK,place over infant's hands to prevent from accidental self-scratching,20.0,15.0,10.0,nan,nan,0.6,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: place over infant's hands to prevent from accidental self-scratching"
<django.db.models.base.ModelState object at 0x7f23c3dfc760>,54393,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,68,aut-13,SOCK,wrap around hinge to restrict movement,Time Limit Hit,6,Alternate Uses Task,120,0,2026-01-07 01:24:29.764802+00:00,SOCK,Wrap around hinge to restrict movement,40.0,28.0,35.0,nan,nan,0.61,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: wrap around hinge to restrict movement"
<django.db.models.base.ModelState object at 0x7f23c3dfc7f0>,54394,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,69,aut-4,BUCKET,"add a bridge, fill with bait and use as trap for small pest",Submitted,13,Alternate Uses Task,120,0,2026-01-07 01:26:37.049351+00:00,BUCKET,"Add a bridge, fill with bait and use as trap for small pest",30.0,28.0,35.0,nan,nan,0.71,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: add a bridge, fill with bait and use as trap for small pest"
<django.db.models.base.ModelState object at 0x7f23c3dfc880>,54395,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,70,aut-4,BUCKET,flip upside down and use as stool ,Submitted,7,Alternate Uses Task,120,0,2026-01-07 01:26:37.056663+00:00,BUCKET,Flip upside down and use as stool,20.0,18.0,35.0,nan,nan,0.49,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: flip upside down and use as stool "
<django.db.models.base.ModelState object at 0x7f23c3dfc910>,54396,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,71,aut-4,BUCKET,use as a pot to cook large batches of food in,Submitted,11,Alternate Uses Task,120,0,2026-01-07 01:26:37.061509+00:00,BUCKET,Use as a pot to cook large batches of food in,20.0,12.0,10.0,nan,nan,0.57,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: use as a pot to cook large batches of food in"
<django.db.models.base.ModelState object at 0x7f23c3dfca30>,54398,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,73,aut-8,KNIFE,use tip as screwdriver ,Submitted,4,Alternate Uses Task,120,0,2026-01-07 01:28:41.560963+00:00,KNIFE,Use tip as screwdriver,20.0,22.0,35.0,nan,nan,0.5,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: use tip as screwdriver "
<django.db.models.base.ModelState object at 0x7f23c3dfcac0>,54399,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,74,aut-8,KNIFE,scrape stubborn food off dishes,Submitted,5,Alternate Uses Task,120,0,2026-01-07 01:28:41.566692+00:00,KNIFE,Scrape stubborn food off dishes,15.0,15.0,35.0,nan,nan,0.52,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: scrape stubborn food off dishes"
<django.db.models.base.ModelState object at 0x7f23c3dfcb50>,54400,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,75,aut-8,KNIFE,embed to use the handle as a sort of peg for something,Time Limit Hit,12,Alternate Uses Task,120,0,2026-01-07 01:28:41.571809+00:00,KNIFE,Embed to use the handle as a sort of peg for something,30.0,28.0,25.0,nan,nan,0.66,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: embed to use the handle as a sort of peg for something"
<django.db.models.base.ModelState object at 0x7f23c3dfcbe0>,54401,rebeaty,7H4H7DwVobsViprPNEB4jm,5a44d679f7b7bc00014e020e,1,aut-8,KNIFE,"stabbing into a door, to help open/close it",Submitted,9,Alternate Uses Task,120,0,2026-01-07 01:33:18.433900+00:00,KNIFE,"Stabbing into a door, to help open/close it",20.0,18.0,35.0,nan,nan,0.51,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: stabbing into a door, to help open/close it"
<django.db.models.base.ModelState object at 0x7f23c3dfcc70>,54402,rebeaty,7H4H7DwVobsViprPNEB4jm,5a44d679f7b7bc00014e020e,2,aut-8,KNIFE,"to throw at a bottle of milk, to get the milk out",Submitted,12,Alternate Uses Task,120,0,2026-01-07 01:33:18.441613+00:00,KNIFE,"to throw at a bottle of milk, to get the milk out",25.0,15.0,35.0,nan,nan,0.55,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: to throw at a bottle of milk, to get the milk out"
<django.db.models.base.ModelState object at 0x7f23c3dfcd00>,54403,rebeaty,7H4H7DwVobsViprPNEB4jm,5a44d679f7b7bc00014e020e,3,aut-8,KNIFE,for stiring coffe,Submitted,3,Alternate Uses Task,120,0,2026-01-07 01:33:18.447089+00:00,KNIFE,for stiring coffe,20.0,12.0,45.0,nan,nan,0.44,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: for stiring coffe"
<django.db.models.base.ModelState object at 0x7f23c3dfce20>,54405,rebeaty,7H4H7DwVobsViprPNEB4jm,5a44d679f7b7bc00014e020e,5,aut-13,SOCK,"storing snacks, like nuts",Submitted,4,Alternate Uses Task,120,0,2026-01-07 01:35:23.386935+00:00,SOCK,"Storing snacks, like nuts",20.0,18.0,35.0,nan,nan,0.31,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: storing snacks, like nuts"
<django.db.models.base.ModelState object at 0x7f23c3dfceb0>,54406,rebeaty,7H4H7DwVobsViprPNEB4jm,5a44d679f7b7bc00014e020e,6,aut-13,SOCK,tie many together to make a scarf,Submitted,7,Alternate Uses Task,120,0,2026-01-07 01:35:23.393652+00:00,SOCK,tie many together to make a scarf,30.0,28.0,35.0,nan,nan,0.56,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: tie many together to make a scarf"
<django.db.models.base.ModelState object at 0x7f23c3dfcf40>,54407,rebeaty,7H4H7DwVobsViprPNEB4jm,5a44d679f7b7bc00014e020e,7,aut-13,SOCK,instead of toilet roll,Submitted,4,Alternate Uses Task,120,0,2026-01-07 01:35:23.397902+00:00,SOCK,instead of toilet roll,35.0,28.0,35.0,nan,nan,0.58,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: instead of toilet roll"
<django.db.models.base.ModelState object at 0x7f23c3dfcfd0>,54408,rebeaty,7H4H7DwVobsViprPNEB4jm,5a44d679f7b7bc00014e020e,8,aut-13,SOCK,cleaning the table,Submitted,3,Alternate Uses Task,120,0,2026-01-07 01:35:23.400500+00:00,SOCK,cleaning the table,25.0,12.0,10.0,nan,nan,0.45,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: cleaning the table"
