prolific_id,achievement_number,CAResp,created_at,ICAA_Score,ICAA_Model
5c2c62542c45d400014a32e6,2,I created a puzzle for a Twitch streamer. I used a picture of their cats they had taken earlier in the year. I edited the picture to remove the distractions. She was shocked once she had opened it. Everyone in her chat was hyped once she had opened it.,20:33.0,3,gpt-4.1
5c2c62542c45d400014a32e6,3,A musician was making a music video in Blender. I suggested 2 videos to put in the music video. They used both. They both made it to the final cut. The video has had thousands of views.,20:33.0,4,gpt-4.1
691371c5d552995298408398,1,"At the age of 13, I won an award for having the best essay written in my entire school about the principles of leadership and kindness. I was put on stage and read the essay outload to over 600 individuals. This received noticeable attention from not only my teachers and classmates, but the school executives and principles who personally were enamored by my efforts and spoke to me alone about it.",21:42.3,4,gpt-4.1
691371c5d552995298408398,2,"At the end of junior high, I was chosen as valedictorian. At the end of the year, I crafted my valedictorian speech which I chose to dedicate to the parents of the students in the school. In front of hundreds of people up on a stage, I read the biggest and final speech made for my graduating class to their family and friends.",21:42.3,4,gpt-4.1
691371c5d552995298408398,3,"After going from job to job that made me very unhappy, ruined my mental health and did not financially sustain me, I finally found a job in an industry that sparked creativity and joy in me. I woke up everyday wanting to go to work and made new friends, loved my team and colleagues I worked with everyday. In less than a few months, I won the ""Best Rookie"" award, and was given a plaque for this, congratulating me on my accomplishments and hard work despite being new in the company. This never happened to me before, and I was suddenly put in the company spotlight.",21:42.3,5,gpt-4.1
60d4edd50a63d7874c704979,1,when I was in school I joined a battlebot competition and made my own robot from scratch,33:16.6,3,gpt-4.1
60d4edd50a63d7874c704979,2,I made a guitar from scratch from shaping the wood to painting and soldering,33:16.6,4,gpt-4.1
60d4edd50a63d7874c704979,3,I made my own rc car,33:16.6,3,gpt-4.1
6332274d72eff2df47171a78,1,"I wrote, filmed, directed, scored, edited, modded and voice acted in a webshow based on the Grand Theft Auto series of games. One of my shorts from the series was an official selection in the 2006 DC International Film Festival (PEDS: Just a Short - Hot Coffee).I learned way too much about the game and it's code, 3d models and a lot of scripting. I also learned how to video edit during all of this.",36:16.4,6,gpt-4.1
6332274d72eff2df47171a78,2,"I played guitar for a local theater production of the musical, Hair in 2021. Because it was volunteer, I had a lot of creative freedom to play the parts the way I wanted to, and it was one of my proudest times as a musician, to be a part of all of that. I think we were nominated for a regional award for best performance by a group/orchestra.",36:16.4,4,gpt-4.1
6332274d72eff2df47171a78,3,"Creating my own albums. Probably my last two - one right at the start of COVID, and the next was all instrumental, with very simple but effective melodies. I'm especially proud of the last song on that album, just a simple back and forth between a clean guitar and piano. I don't do this for the recognition (though it would be nice), I do it because I have to - it's just a part of who I am.",36:16.4,3,gpt-4.1
67c60b46b619cad09b65ab51,1,"I completed my PhD after many years of research and study. I worked on new ideas and wrote my own findings. My work was noticed by my teachers and other students. It added new knowledge to my field. I had to develop new ideas, design experiments or studies, and present my findings in a clear and innovative way.",43:52.0,5,gpt-4.1
67c60b46b619cad09b65ab51,2,I built my own home from the ground up. I planned the design and chose the materials. I solved problems during construction. Friends and family liked the final house.,43:52.0,3,gpt-4.1
67c60b46b619cad09b65ab51,3,I wrote poems together with a colleague. We shared our ideas and created poems that people enjoyed. Some of our poems were shared with others. Writing with a friend helped me improve my skills.,43:52.0,3,gpt-4.1
665ee0800a4d97ea0026ff34,1,I have learned to play the guitar to a reasonable level. I like to play music that I come up with. My family enjoy listening to me play. I also play at family gatherings to entertain everyone with sing along music,14:28.7,2,gpt-4.1
665ee0800a4d97ea0026ff34,2,I have taught myself to paint with arcylic paints and I really enjoy being creative and producing abstract pictures with vibrant colours. I have some of my pictures around the house and people comment on waht they make them feel.,14:28.7,3,gpt-4.1
665ee0800a4d97ea0026ff34,3,,14:28.7,2,gpt-4.1
69203091564a7d1a74700ed4,1,Shore fishing,16:10.5,999,gpt-4.1
69203091564a7d1a74700ed4,2,Coding,16:10.5,4,gpt-4.1
69203091564a7d1a74700ed4,3,Youtube videos,16:10.5,3,gpt-4.1
6344b4073207c88c1cf5b49f,1,I created a costume for a con I attended.,58:22.6,3,gpt-4.1
6344b4073207c88c1cf5b49f,2,My partner and I made clay figures with each other.,58:22.6,1,gpt-4.1
6344b4073207c88c1cf5b49f,3,My partner and I drew pictures together.,58:22.6,5,gpt-4.1
65c10d8000af1af81e3f42ec,1,I was chosen to travel across many states for work. I was chosen to go and train several others to do the work that I do and how to do it well. I was handpicked by the Regional Manager because she had noticed how good my work was and wanted me to teach others. I received much praise and attention for this achievement and was able to pass knowledge on to several others in the process.,19:01.5,2,gpt-4.1
65c10d8000af1af81e3f42ec,2,I attended college full time and worked full time and was recognized by my employer for being able to have a good work-life balance and remain on target with everything. I was rewarded with a card expressing appreciation and a gift card as a bonus for outstanding performance.,19:01.5,5,gpt-4.1
65c10d8000af1af81e3f42ec,3,"I had the pleasure of working for a company that is worldwide and I did great work for the company so I was photographed and published in a book. The book included my name, tenure, and how I contribute to the company. There was also a human size banner with my photo that was placed in the workplace for others to see my accomplishment.",19:01.5,2,gpt-4.1
692f221e98e3cdcf10465812,1,"I won the pitching accuracy contest when I was 8 years old. It meant a lot because I was vsing a lot of older kids, and I was the underdog. I won a trophly. Everyone cheered. Everyone was impressed.",29:17.0,2,gpt-4.1
692f221e98e3cdcf10465812,2,"I got honour roll at my high school. I thought it didn't mean anything, but my mom was proud of me, so that made my day.",29:17.0,2,gpt-4.1
692f221e98e3cdcf10465812,3,"I got most improved player in 11u in hockey. I was new to the team and didn't think I was too good, but this award from the coaching staff really helped with my self confidence.",29:17.0,4,gpt-4.1
6637b21240220c2517fffa1a,1,I wrote a novel and sent it out to some editors (rejected all over),51:26.5,5,gpt-4.1
6637b21240220c2517fffa1a,2,I was published and paid by National Lampoon once.,51:26.5,4,gpt-4.1
6637b21240220c2517fffa1a,3,"I wrote for my city's satire magazine for a few years. ""Recoil"".",51:26.5,5,gpt-4.1
5fd66ce8aec66457ff73d743,1,"I love gardening, this past year I had a large enough garden that I was able to sell my produce.",59:50.3,2,gpt-4.1
5fd66ce8aec66457ff73d743,2,I was a typesetter many years ago. My boss recognized me for my outstanding performance and accuracy. Nothing formal but he did recognize me and told me how well I did.,59:50.3,2,gpt-4.1
5fd66ce8aec66457ff73d743,3,My boss recently recognized my work. I did a complete retail reset. He did not do anything formal but he did praise me and even called other workers over to have a look.,59:50.3,999,gpt-4.1
5c7ceda01d2afc0001f4ad1d,1,"Please name your three greatest creative achievements to date  No, thank you.",01:16.0,999,gpt-4.1
5c7ceda01d2afc0001f4ad1d,2,"Please name your three greatest creative achievements to date  No, thank you.",01:16.0,999,gpt-4.1
5c7ceda01d2afc0001f4ad1d,3,"Please name your three greatest creative achievements to date  No, thank you.",01:16.0,3,gpt-4.1
65a3eae145bd7a121b03e953,1,I made a musical wind chime out of old fishing equipment for my music class,01:32.0,2,gpt-4.1
65a3eae145bd7a121b03e953,2,I recieved a certificate for writing a short story in primary school,01:32.0,3,gpt-4.1
65a3eae145bd7a121b03e953,3,I created a woodwork entrance for my wrestling set that all my friends envied,01:32.0,4,gpt-4.1
5cab22cd68194f001511b2d6,1,"I have had my artwork displayed in a gallery and I have also had sales on those particular works. It was a local gallery in my area and it was a big n for me because I had never tried to sell my artwork before. I'm not sure how many people noticed my work, however I had since had repeat customers.",05:45.7,6,gpt-4.1
5cab22cd68194f001511b2d6,2,I entered an online competition where I had to design an image following a brief from the hosts. Over 2000 people entered the worldwide competition and I was chose to win the bronze prize. This felt significant as it led to a lot of new followers on my social media accounts and more interest in my artwork.,05:45.7,5,gpt-4.1
5cab22cd68194f001511b2d6,3,When i was in school I was chosen to receive an award for my dedication and achievements. There was only one person in the year that was chosen and for my year that was me. There was a presentation evening that I got to attend with my parents and I was presented with the award and had my photo taken that was then published in the newspaper. At the time if felt like a big deal and it was a very proud moment for me as I always tried to excel in school and get the most out of it.,05:45.7,999,gpt-4.1
6779ab59311fd2904146f0d7,1,BEING A TEACHER,13:36.1,999,gpt-4.1
6779ab59311fd2904146f0d7,2,BEING A MUM,13:36.1,999,gpt-4.1
6779ab59311fd2904146f0d7,3,BEING A WIFE,13:36.1,4,gpt-4.1
63fa78f21e485a372c6528fa,1,"Made district honor jazz band, playing saxophone. Performed in a concert as an ensemble. Not a professional accomplishment for myself but perhaps others in the group went on to play music as a career.",23:26.6,4,gpt-4.1
63fa78f21e485a372c6528fa,2,"Displayed photography in a local art gallery. Curated a selection of black and white landscape pictures that I developed in the photo lab. Not currently professionally relevant, as dark room skills aren't as useful as they once were.",23:26.6,5,gpt-4.1
63fa78f21e485a372c6528fa,3,"Baking desserts in a cafe. Gathered recipes, techniques and curated menu items to make from scratch. Professional as it is something I can refine and people will likely continue eating.",23:26.6,3,gpt-4.1
5dd7f591ad0a617838322129,1,"When I was a child I entered a watercolour painting contest and got a podium finish. I'm not very imaginative when it comes to art, nor do I have the fine motor control for lifelike paintings, even though I was young and probably got rated highly due to the lack of entrants rather than on merit I was (and still am) perhaps more proud than I should be of the achievement.",24:23.1,4,gpt-4.1
5dd7f591ad0a617838322129,2,"After the earthquake that struck Japan in 2011 I submitted an experimental/ambient piece of music to a fundraiser compilation and it got accepted. I'd never done something like that before, while I do quite like the music I am happy that I felt brave enough to enter a creative work for consideration.",24:23.1,3,gpt-4.1
5dd7f591ad0a617838322129,3,I created an art bot that published procedurally generated works on social media. It wasn't very complicated but I found the shapes and colours very satisfying and even though it didn't attract much attention the mixture of technical coding and artistic intent brought me joy and satisfaction in the finished piece.,24:23.1,999,gpt-4.1
66b828d453598bcca42608c1,1,"I finished grad school with a 4.0 GPA. Although I was not named valedictorian, I was extremely proud to have completed my schooling with perfect grades. This might not be a creative achievement, but it is a widely recognized and revered accomplishment that I am deeply proud of.",25:47.5,4,gpt-4.1
66b828d453598bcca42608c1,2,"I formerly worked as a high school English teacher. During the 2020 COVID school shutdown, I came up with a system using Excel to keep track of students' missing assignments and what they needed to turn in to improve their grades. It tracked what was missing, when it was handed in, and if it had been graded. The other teachers liked it so much that they asked me for the Excel template, and the school administration ended up making it the standard for all teachers to use for their respective subject areas.",25:47.5,3,gpt-4.1
66b828d453598bcca42608c1,3,"Although not creative, I received an All-League award when I was the captain of my high school's tennis team. I had the best record in the league, which meant I was one of the best players in the county. I was honored to be recognized for my athletic skills and hard work. This was years ago, but it's still a fun memory.",25:47.5,2,gpt-4.1
6544fd514964fea23051c3b7,1,"Perfectly played my favorite nursery rhymes using a recorder, and also on a keyboard",39:09.9,5,gpt-4.1
6544fd514964fea23051c3b7,2,"Designed control procedures for an organization and effectively modified it based on new global and local threats, trends and policies",39:09.9,5,gpt-4.1
6544fd514964fea23051c3b7,3,"Successfully planned, organized and supervised year-end inventory count for a large organization",39:09.9,999,gpt-4.1
5fd63cb585f88c4eb1933661,1,I became dependent on myself and learn not to depend on others to help you out.,14:53.1,1,gpt-4.1
5fd63cb585f88c4eb1933661,2,I am learning to play the guitar for the first time in my life.,14:53.1,999,gpt-4.1
5fd63cb585f88c4eb1933661,3,To enjoy new hobbies and not be stuck doing same old things.,14:53.1,3,gpt-4.1
6658d02b830a00e979619fb8,1,I was awarded as the best short drama story writer during my high school education.,15:05.4,4,gpt-4.1
6658d02b830a00e979619fb8,2,"I constructed a statue of my professor, and it was so good that it attracted people from other schools.",15:05.4,3,gpt-4.1
6658d02b830a00e979619fb8,3,I wrote most of the poems in a semester in my department.,15:05.4,4,gpt-4.1
66ccbb7d4109382e498e3c82,1,I wrote an article for fun and it was actually purchased and posted on a website online. I didn't make a lot of money on it but I was really proud of it and sent it to all my friends and family. It also receive a lot of positive comments on the website.,45:49.1,4,gpt-4.1
66ccbb7d4109382e498e3c82,2,"I wrote a short poem about something I felt strongly about...it was actually just a warm-up in typing class and I didn't spend a lot of time on it, it just kind of came out. My teacher told me to submit it to the yearly publication our high school did and they actually put it on the front cover. A few years later, after I graduated, they asked if they could use it in the lobby and they had someone actually paint the poem on the wall you see as soon as you enter the school. It was just a short poem but I'm proud because it makes me feel like I've left a little bit of a legacy.",45:49.1,5,gpt-4.1
66ccbb7d4109382e498e3c82,3,"This feels like an achievement to me although it might not be in the strictest sense. But I created a craft that a lot of people loved, and I wound up actually selling them and making a decent amount of money. It just made me feel good that people thought highly enough of something I made to pay actual money for it.",45:49.1,4,gpt-4.1
67aae2b5797af1e296927d2a,1,"I designed a mural for a local community center, representing diversity and unity, which was unveiled at a public event and has become a local landmark.",03:50.3,5,gpt-4.1
67aae2b5797af1e296927d2a,2,"Wrote a blog series on creative entrepreneurship for a US-based startup community, gaining 1,000 monthly readers.",03:50.3,4,gpt-4.1
67aae2b5797af1e296927d2a,3,"Designed and sold custom T-shirts at a local festival in Austin, Texas, generating $2,000 in sales and getting orders for future designs.",03:50.3,5,gpt-4.1
654a44f0addb5f41f1705b75,1,"A fulfilling creative achievement was when I had a long article published in a national newspaper. Due to the many articles received by the publication, I didn't expect that mine would be one of the two chosen for publication. I was very glad when I saw it, but I got even more validation when I returned to school, and lecturers in my department were complimenting my work. It was one of my best creative works, and I'm glad it was rewarded.",07:50.8,4,gpt-4.1
654a44f0addb5f41f1705b75,2,"Another one was when I had a business proposal approved and published by a City Council. It was a new service, and I had to develop it from the ground up. I had to do a few presentations, and the proposal went through different approval stages. I believe one of the reasons why it was approved, among other ideas, was because of my creative writing and storytelling. I feel validated whenever I Google my name, and the proposal comes up.",07:50.8,4,gpt-4.1
654a44f0addb5f41f1705b75,3,"A few years ago, I was in charge of the choir for a youth event. I wanted us to sing a special song that clearly highlights the theme of the event. When I couldn't find a song that satisfied this criterion, I decided to write an original song. It was the last song we did on the last day, and when we finished, we got an unprecedented standing ovation!",07:50.8,5,gpt-4.1
6658ca2b92efe5c33798f1b4,1,I designed a new product for several insurance franchises. This was assive as i was asked to do this out of 1000s of people.,12:14.8,3,gpt-4.1
6658ca2b92efe5c33798f1b4,2,I designed my whole house- i get lots of compliments for it.,12:14.8,2,gpt-4.1
6658ca2b92efe5c33798f1b4,3,I designed my partners ring- they were taken back by it,12:14.8,3,gpt-4.1
631745a70c7c585248df1a5d,1,designed a Christmas card that others asked to buy,23:57.7,3,gpt-4.1
631745a70c7c585248df1a5d,2,taught myself how to play the drums,23:57.7,3,gpt-4.1
631745a70c7c585248df1a5d,3,demonstrated my accordion playing to a group,23:57.7,3,gpt-4.1
63d7abeeb49ad49fa7545e44,1,"I wrote scripts for a sitcom as a hobby, but I never sent it to any agents as I didn't believe it would be accepted and I feared the rejection.",24:23.1,5,gpt-4.1
63d7abeeb49ad49fa7545e44,2,"I designed a website that was on the side of home renters, like a tripadvisor that outed slum landlords. I was interviewed by the BBC about it and hoped to gain funding but it never took off.",24:23.1,5,gpt-4.1
63d7abeeb49ad49fa7545e44,3,I appeared on two episodes of BBC's 'Ambulance' when I worked for the Ambulance Service. I had to do a lot of ad-libbing and make conversations up on demand for the cameras. It was almost like an acting performance,24:23.1,1,gpt-4.1
60ac66a8e1bf5a1c51fa864c,1,"My first drawing, my mother still has it",27:52.5,2,gpt-4.1
60ac66a8e1bf5a1c51fa864c,2,A giant Lego tower. I was about 10 years old at the time and I became so obsessed with Legos that I decided to create a giant piece.,27:52.5,2,gpt-4.1
60ac66a8e1bf5a1c51fa864c,3,"Designing my study/playroom was a dream come true, and now I can share it with my children.",27:52.5,6,gpt-4.1
5e32c95c87b8ef28e5aff6ea,1,winning an award for my social media career and being flown to Cannes Film Festival as part of my prize. I won Content Creator of the Year in the Film and TV category so it was a really fitting prize,29:46.6,3,gpt-4.1
5e32c95c87b8ef28e5aff6ea,2,"Shooting my own short film was an achievement in itself. It was a huge undertaking as I wrote, directed and starred in it.",29:46.6,5,gpt-4.1
5e32c95c87b8ef28e5aff6ea,3,Moving to NYC to attend drama school was a huge achievement for me as it is a very prestigious school that I had to audition to be accepted into.,29:46.6,3,gpt-4.1
674bea1eb044fbe75795fef1,1,"I painted a wooden rabbit for Chinese New Year at a free workshop a couple of years ago, and walking back to the car several strangers came up to me and complemented it and asked where I got it",40:08.3,5,gpt-4.1
674bea1eb044fbe75795fef1,2,"I wrote a short fictional story when I was a teenager that won a state writing competition, and I won a monetary prize.",40:08.3,3,gpt-4.1
674bea1eb044fbe75795fef1,3,"I created a Halloween costume by starting with a basic dress, modifying it, and adding several accessories.",40:08.3,3,gpt-4.1
5dd86f98e9a0ba81a7f5e099,1,i taught myself crochet,46:53.1,1,gpt-4.1
5dd86f98e9a0ba81a7f5e099,2,i can make crochet from my brain,46:53.1,3,gpt-4.1
5dd86f98e9a0ba81a7f5e099,3,i can cross stitch,46:53.1,3,gpt-4.1
5d45521afdaaad00010ec185,1,I made a beautiful red dress for my toddler which was much admired.,56:31.7,3,gpt-4.1
5d45521afdaaad00010ec185,2,I have created knitwear patterns and made them and others have asked if they can have them also.,56:31.7,4,gpt-4.1
5d45521afdaaad00010ec185,3,I created a vegetable patch in a bare garden and grew crops which won prizes in local shows.,56:31.7,3,gpt-4.1
659c0682d109f8537a89fdd3,1,I learned how to crochet. I was able to make an ornament for my friend and he really appreciated it,00:16.6,2,gpt-4.1
659c0682d109f8537a89fdd3,2,,00:16.6,3,gpt-4.1
659c0682d109f8537a89fdd3,3,,00:16.6,3,gpt-4.1
55bb9ae7fdf99b26d27fda01,1,"I won a contest in elementary school for a story I wrote. Wasn't much competition in my non fiction category but was still nice to have done so, especially since it was 2-5th grade contest and i was only in 2nd.",08:42.8,3,gpt-4.1
55bb9ae7fdf99b26d27fda01,2,I made a paper mache sculpture in high school and they kept it and a few others displayed for years in the library. I was proud they picked mine.,08:42.8,3,gpt-4.1
55bb9ae7fdf99b26d27fda01,3,In college I was in a creative writing class and my works were often described as being deep and interesting. I got a lot of compliments on them.,08:42.8,3,gpt-4.1
5a8b1ee2000dab00018cc7cd,1,In high school I wrote a poem about my cat for a contest at school and won.,09:26.2,4,gpt-4.1
5a8b1ee2000dab00018cc7cd,2,"I paint my own nail designs and people started asking me about them, including my friends. I eventually started doing my friend's nails.",09:26.2,3,gpt-4.1
5a8b1ee2000dab00018cc7cd,3,"I got tired of paying so much money to get my hair professionally done, so I started bleaching and cutting my own hair. I regularly get complimented on my hair and am happy to say I do it myself.",09:26.2,4,gpt-4.1
5e729511e05cd902cc7699a4,1,"I presented a research poster at a conference, and this was my first time doing this. I didn't receive an award but, I had positive feedback from my peers and staff team about my poster and research project.",10:45.1,5,gpt-4.1
5e729511e05cd902cc7699a4,2,I read a poem at a reflective practice discussion and this was met with positive feedback. I had received support in creating this poem so it wasnt only my contribution but i enjoyed the process of it.,10:45.1,3,gpt-4.1
5e729511e05cd902cc7699a4,3,I was part of a dance group where I had to perform a dance in front of an audience. I wasn't the main chroegrapher but I made some suggestions on some of the dance moves and we had lots of positive feedback from the audience.,10:45.1,3,gpt-4.1
5b421b9ac2e3810001763252,1,i wont a competition to an amusement park for my design in a magazine when i was a teenager and was able to win this when entering a national competition.,12:48.1,5,gpt-4.1
5b421b9ac2e3810001763252,2,create an story which was praised by a teach for creative writing and showing advanced skills for my age as a young teenager.,12:48.1,4,gpt-4.1
5b421b9ac2e3810001763252,3,designing a boardgame in school which was handcrafted and designed which helped me score a high grade.,12:48.1,3,gpt-4.1
60cf0d251a90eb823bc9b740,1,Had a poem published when I was in school. Thousands of people read it,17:50.7,3,gpt-4.1
60cf0d251a90eb823bc9b740,2,I won a big football cup with my team. I was proud of how we all worked together and played really well in order to win,17:50.7,999,gpt-4.1
60cf0d251a90eb823bc9b740,3,Created 4 or 5 sketches of things I love over several weeks. I took a lot of time and attention to get right. I felt proud,17:50.7,999,gpt-4.1
69138ed04690ca3fa74ef563,1,Learning 3 instruments,32:45.4,3,gpt-4.1
69138ed04690ca3fa74ef563,2,getting a dog,32:45.4,5,gpt-4.1
69138ed04690ca3fa74ef563,3,getting a high paying job,32:45.4,4,gpt-4.1
5f39a2fd2d394917284dd66f,1,"I become one of the youngest chess player in my school (aged between 8 to 16) at the age of 8. I played 12 games only loosing one, competing with mostly teens aged 15/16",35:37.1,999,gpt-4.1
5f39a2fd2d394917284dd66f,2,"I am one of the most requested data analyst within the company I work for. Most of our clients request that I work on their project, recognizing my intellect and ability to deliver projects on time and always with a smile.",35:37.1,3,gpt-4.1
5f39a2fd2d394917284dd66f,3,"I designed a very creative way to train dogs behave. I realised that dogs don't need training, but people do. So a few years ago I opened a dog training for dog owner alone. To my surprised it proved to be very popular and even though I didn't charge any money - I mainly wanted to help up - I am sure it would have become a very successful business indeed.",35:37.1,1,gpt-4.1
6941e60f2c7507f1915682c3,1,I graduated High School at 17 in State custody (DCS facility) and met what seemed like important people of the state for it ( they all wore suits and ties),38:02.2,999,gpt-4.1
6941e60f2c7507f1915682c3,2,I wrote a lot of rap lyrics while in state custody and got a lot of complements for it.,38:02.2,2,gpt-4.1
6941e60f2c7507f1915682c3,3,While in state custody i built a solid figure and still have it maintained ( personal accomplishment for me since i used to be fat),38:02.2,3,gpt-4.1
676556ccb7aac9ede13d73c9,1,"I got my dream job, as an assistant manager of a supermarket. It came as a complete surprise because the interview really did not go at all well. I felt proud of myself.",39:15.8,3,gpt-4.1
676556ccb7aac9ede13d73c9,2,"I don't consider myself artistic in the least. However, when I was at school, I made a clay sculpture of a man's face, which I am proud of. I still have it in my possession.",39:15.8,4,gpt-4.1
676556ccb7aac9ede13d73c9,3,"I love to sing karaoke. I love to put my individuality into the song, without straying too far from the original.",39:15.8,3,gpt-4.1
5929c96027ea400001301061,1,"Had a design chosen for the cover of a programme for my schools performance of ""The Sound of Music""",45:22.4,3,gpt-4.1
5929c96027ea400001301061,2,Sold a painting of a soft toy,45:22.4,1,gpt-4.1
5929c96027ea400001301061,3,Won an art award when I was a child for drawing a picture of a pirate,45:22.4,5,gpt-4.1
5e5a96f5a2f2c528edf70f6e,1,I had my art displayed at school on the wall,53:52.0,5,gpt-4.1
5e5a96f5a2f2c528edf70f6e,2,I entered a context to design a desk,53:52.0,6,gpt-4.1
5e5a96f5a2f2c528edf70f6e,3,,53:52.0,4,gpt-4.1
6941aeb9a019a9bbdd57d028,1,Published a story online about a MMO away character that gains awareness and eventually starts waking up in the body of the associated real world player. I did this over a period of time. It's had thousands of views and did fairly well review wise on the site royal road legends. It was fairly short (only 87 pages/25k words). A number of the chapter were read cold by a popular audio book narrator on his show when he was first starting. It's on hiatus for 7 years now while I contemplate what next for the story. With the aid of my wife one chapter was expanded to a short story in it's own right and published in SciFan magazine (issue 7). I was very pleasesd to be paid a token amount (my wife and I shared the $16) and it was purchasable on Amazon prior to the Magazine going under. I did get to hold a paper copy of that issue (I unfortunately gave away the 2 copies I had). It was a big deal for me.,58:56.5,999,gpt-4.1
6941aeb9a019a9bbdd57d028,2,"I created a virtual go board in second life that used only 4 permanent prims (drawing objects that are rationed in each location. It had over 1600 lines of script and used temporary objects for the stones (19 rows of 19 stones each). it was playable in world, enforced legal move rules and had semiautomated scoring at the end. It was the first virtual object I was paid real world money for (I'd worked for some game companies as a programmer prior to that. I eventually passed it on to the people running the hobo island in world for free distribution (that's a newbie place for getting free stuff).",58:56.5,999,gpt-4.1
6941aeb9a019a9bbdd57d028,3,"I am on a patent in Mass spectrometry (with 2 other people) This was forward and reverse scanning for a beam instrument. Normally quadupole  mass spectrometers only scan the filtered masses in one direction. By scanning in both directions it both can scan slightly faster, it also allows masses to be seen earlier allowing for triggered special scanning to occur earlier when it might be more useful.While the patent was granted in the US and other countires (the business i worked for at the time has the rights), deleloping it would have required upwards of $100k to build and test a physical device. It worked in simulations, it wasn't a priority to the business and never developed.",58:56.5,3,gpt-4.1
5eca536f9aa4f658d641a7d9,1,Had a letter published in a magazine on a particular subject,24:35.9,3,gpt-4.1
5eca536f9aa4f658d641a7d9,2,None,24:35.9,3,gpt-4.1
5eca536f9aa4f658d641a7d9,3,None,24:35.9,3,gpt-4.1
66db9db4324609f1a7231f49,1,"I created many amazing cakes for friends and family. I put many hours into the decorative detail, and achieved much praise each time I created a cake.",32:23.2,5,gpt-4.1
66db9db4324609f1a7231f49,2,"I want to a painting party, and the little extra things I added to the canvas made the picture stand out form the others, drawing many compliments.",32:23.2,3,gpt-4.1
66db9db4324609f1a7231f49,3,"I used to work in a classroom, and the projects I created for the kids to do was very fun for them and stimulationd, I got much praise form theor parents and my coworkers for my creativity.",32:23.2,4,gpt-4.1
5591cd21fdf99b63126f6c60,1,I created a intricate wooden picture frame using only a completed one as a guide. I used my mind to figure out how the end result was achieved and tried to replicate it on my own. I still have the picture frame to this day and frequently change pictures in it as a way to show it off to others.,37:10.2,4,gpt-4.1
5591cd21fdf99b63126f6c60,2,My capstone paper in college was awarded for its quality and was given to some other students as a guide to use for their own capstone assignments. The paper was about a network infrastructure upgrade/project for an already-established company.,37:10.2,3,gpt-4.1
5591cd21fdf99b63126f6c60,3,"I designed my cubicle for the holidays and many people stopped by to tell me how good it looked. The decorations included a tree, ornaments, and various objects hung from the ceiling. My cubicle was in a highly prominent area, so it was visually striking and hard to miss. It made me feel proud of my creative capabilities.",37:10.2,2,gpt-4.1
65e64c08cd1bf3d6ab957af7,1,"As a mother of a very creative child who loves Halloween, I have created numerous detailed costumes, including body painting, that have been awarded prizes for originality.",41:11.3,3,gpt-4.1
