_state,id,researcher_id,experiment_id,participant_id,trial_num,item_id,item,response,timelimit,word_count,task_type,time_per_trial,left_page,created_at,item_unified,response_unified,google_creativity,anthropic_creativity,xai_creativity,kimi_creativity,mistral_creativity
<django.db.models.base.ModelState object at 0x7f236ed980d0>,54268,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,18,dp-8,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,voice messages playing randomly throughout,Time Limit Hit,5,Design Problems,120,2,2026-01-06 23:46:56.348870+00:00,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,voice messages playing randomly throughout,15.0,18.0,20.0,,
<django.db.models.base.ModelState object at 0x7f236ed98160>,54269,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,19,dp-2,Develop as many design ideas as you can to increase the use of renewable energy sources.,vouchers to help pay bills if you use renewable energy,Submitted,10,Design Problems,120,0,2026-01-06 23:49:02.284180+00:00,Develop as many design ideas as you can to increase the use of renewable energy sources.,vouchers to help pay bills if you use renewable energy,20.0,22.0,25.0,,
<django.db.models.base.ModelState object at 0x7f236ed981f0>,54270,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,20,dp-2,Develop as many design ideas as you can to increase the use of renewable energy sources.,neighbourhood lottery for best neighbourhoods ,Submitted,5,Design Problems,120,0,2026-01-06 23:49:02.287243+00:00,Develop as many design ideas as you can to increase the use of renewable energy sources.,neighbourhood lottery for best neighbourhoods,30.0,28.0,35.0,,
<django.db.models.base.ModelState object at 0x7f236ed98280>,54271,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,21,dp-2,Develop as many design ideas as you can to increase the use of renewable energy sources.,points based reward card or system,Submitted,6,Design Problems,120,0,2026-01-06 23:49:02.290164+00:00,Develop as many design ideas as you can to increase the use of renewable energy sources.,points based reward card or system,20.0,18.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ed983a0>,54273,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,23,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,Road lights that tell someone to switch lane if they are going too slow,Submitted,14,Design Problems,120,0,2026-01-06 23:51:13.322998+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,Road lights that tell someone to switch lane if they are going too slow,25.0,28.0,35.0,,
<django.db.models.base.ModelState object at 0x7f236ed98430>,54274,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,24,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,"electric scooters and bike lanes, more of them and rewards",Submitted,10,Design Problems,120,1,2026-01-06 23:51:13.326199+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,"electric scooters and bike lanes, more of them and rewards",15.0,18.0,20.0,,
<django.db.models.base.ModelState object at 0x7f236ed98550>,54276,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,26,dp-10,Develop as many design ideas as you can to improve access to clean water in remote areas.,automatic electric vehicles go to drop off locations and return clean water,Submitted,12,Design Problems,120,0,2026-01-06 23:53:19.038652+00:00,Develop as many design ideas as you can to improve access to clean water in remote areas.,automatic electric vehicles go to drop off locations and return clean water,25.0,28.0,25.0,,
<django.db.models.base.ModelState object at 0x7f236ed98670>,54278,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,28,dp-6,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,stair hand rails that pull you and also stabilize you ,Submitted,10,Design Problems,120,1,2026-01-06 23:55:23.838522+00:00,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,stair hand rails that pull you and also stabilize you,30.0,22.0,25.0,,
<django.db.models.base.ModelState object at 0x7f236ed9b400>,54359,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,34,dp-10,Develop as many design ideas as you can to improve access to clean water in remote areas.,Water canal system,Submitted,3,Design Problems,120,0,2026-01-07 01:06:20.490750+00:00,Develop as many design ideas as you can to improve access to clean water in remote areas.,Water canal system,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ed9b490>,54360,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,35,dp-10,Develop as many design ideas as you can to improve access to clean water in remote areas.,Underground built-in water purification and filtering,Submitted,7,Design Problems,120,0,2026-01-07 01:06:20.493792+00:00,Develop as many design ideas as you can to improve access to clean water in remote areas.,Underground built-in water purification and filtering,20.0,22.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ed9b5b0>,54362,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,37,dp-2,Develop as many design ideas as you can to increase the use of renewable energy sources.,Handheld sun-chargable phone chargers,Submitted,5,Design Problems,120,0,2026-01-07 01:08:28.913890+00:00,Develop as many design ideas as you can to increase the use of renewable energy sources.,Handheld sun-chargable phone chargers,15.0,28.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ed9b640>,54363,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,38,dp-2,Develop as many design ideas as you can to increase the use of renewable energy sources.,Solar-chargable batteries,Submitted,3,Design Problems,120,0,2026-01-07 01:08:28.917080+00:00,Develop as many design ideas as you can to increase the use of renewable energy sources.,Solar-chargable batteries,10.0,18.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ed9b6d0>,54364,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,39,dp-2,Develop as many design ideas as you can to increase the use of renewable energy sources.,Wind-energy powered cars,Submitted,4,Design Problems,120,0,2026-01-07 01:08:28.920130+00:00,Develop as many design ideas as you can to increase the use of renewable energy sources.,Wind-energy powered cars,20.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ed9b7f0>,54366,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,41,dp-8,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,Earpiece device with time-sensitive checklist/notification/reminder system,Submitted,9,Design Problems,120,0,2026-01-07 01:10:34.827114+00:00,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,Earpiece device with time-sensitive checklist/notification/reminder system,20.0,28.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ed9b880>,54367,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,42,dp-8,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,App which is cross-compatible with other apps to remind of tasks,Time Limit Hit,12,Design Problems,120,0,2026-01-07 01:10:34.829670+00:00,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,App which is cross-compatible with other apps to remind of tasks,15.0,18.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ed9b910>,54368,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,43,dp-6,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,Shoes with special soles that retroactively change length so less movement is needed to take steps up stairs,Submitted,18,Design Problems,120,0,2026-01-07 01:12:38.210902+00:00,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,Shoes with special soles that retroactively change length so less movement is needed to take steps up stairs,35.0,28.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ed9b9a0>,54369,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,44,dp-6,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,Mobile seat on stair railing to lift people,Time Limit Hit,8,Design Problems,120,0,2026-01-07 01:12:38.214108+00:00,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,Mobile seat on stair railing to lift people,10.0,28.0,30.0,,
<django.db.models.base.ModelState object at 0x7f236ed9ba30>,54370,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,45,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,Widen streets,Submitted,2,Design Problems,120,0,2026-01-07 01:14:45.199804+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,Widen streets,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ed9bac0>,54371,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,46,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,"Facilitate other modes of transportation (biking, public transport) via road infrastructure (separate PHYSICAL lanes for each mode of transport)",Submitted,19,Design Problems,120,0,2026-01-07 01:14:45.202886+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,"Facilitate other modes of transportation (biking, public transport) via road infrastructure (separate PHYSICAL lanes for each mode of transport)",15.0,18.0,20.0,,
<django.db.models.base.ModelState object at 0x7f236ed9bb50>,54372,rebeaty,7H4H7DwVobsViprPNEB4jm,6079ff1600ff2b7455e1c3e0,47,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,Better sidewalk infrastructure for pedestrains to encourage walking instead of driving,Submitted,11,Design Problems,120,0,2026-01-07 01:14:45.205846+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,Better sidewalk infrastructure for pedestrains to encourage walking instead of driving,20.0,18.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3ded5d0>,54532,rebeaty,7H4H7DwVobsViprPNEB4jm,68879462acd0ae2c5ecf4b88,94,dp-6,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,one of those chairs that attaches to the handrail that they can sit on ,Submitted,14,Design Problems,120,0,2026-01-07 02:10:25.262715+00:00,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,one of those chairs that attaches to the handrail that they can sit on,10.0,22.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3ded660>,54533,rebeaty,7H4H7DwVobsViprPNEB4jm,68879462acd0ae2c5ecf4b88,95,dp-6,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,more access to elevators,Submitted,4,Design Problems,120,0,2026-01-07 02:10:25.265764+00:00,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,more access to elevators,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3ded6f0>,54534,rebeaty,7H4H7DwVobsViprPNEB4jm,68879462acd0ae2c5ecf4b88,96,dp-6,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,"less steep stairs, maybe make the steps wider and easier to walk up",Submitted,13,Design Problems,120,0,2026-01-07 02:10:25.268672+00:00,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,"less steep stairs, maybe make the steps wider and easier to walk up",15.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3ded780>,54535,rebeaty,7H4H7DwVobsViprPNEB4jm,68879462acd0ae2c5ecf4b88,97,dp-6,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,walking cane/stick,Submitted,3,Design Problems,120,0,2026-01-07 02:10:25.271563+00:00,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,walking cane/stick,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3ded810>,54536,rebeaty,7H4H7DwVobsViprPNEB4jm,68879462acd0ae2c5ecf4b88,98,dp-6,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,handrails on both sides for more support,Submitted,7,Design Problems,120,0,2026-01-07 02:10:25.274423+00:00,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,handrails on both sides for more support,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3ded8a0>,54537,rebeaty,7H4H7DwVobsViprPNEB4jm,68879462acd0ae2c5ecf4b88,99,dp-6,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,ramps near all stairs,Submitted,4,Design Problems,120,0,2026-01-07 02:10:25.277283+00:00,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,ramps near all stairs,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3ded930>,54538,rebeaty,7H4H7DwVobsViprPNEB4jm,68879462acd0ae2c5ecf4b88,100,dp-6,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,anti-slip pads for ur feet for better grip,Submitted,9,Design Problems,120,0,2026-01-07 02:10:25.280108+00:00,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,anti-slip pads for ur feet for better grip,15.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3deda50>,54540,rebeaty,7H4H7DwVobsViprPNEB4jm,68879462acd0ae2c5ecf4b88,102,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,more carpool lanes,Submitted,3,Design Problems,120,0,2026-01-07 02:12:28.557975+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,more carpool lanes,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3dedae0>,54541,rebeaty,7H4H7DwVobsViprPNEB4jm,68879462acd0ae2c5ecf4b88,103,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,more public transit options/better funding for public transportation and cheaper costs for consumers,Submitted,14,Design Problems,120,0,2026-01-07 02:12:28.561181+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,more public transit options/better funding for public transportation and cheaper costs for consumers,15.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3dedb70>,54542,rebeaty,7H4H7DwVobsViprPNEB4jm,68879462acd0ae2c5ecf4b88,104,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,more flexible work hours,Submitted,4,Design Problems,120,0,2026-01-07 02:12:28.564302+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,more flexible work hours,15.0,18.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3dedc00>,54543,rebeaty,7H4H7DwVobsViprPNEB4jm,68879462acd0ae2c5ecf4b88,105,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,streets that are only for pedestrians,Submitted,6,Design Problems,120,0,2026-01-07 02:12:28.567376+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,streets that are only for pedestrians,15.0,18.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3dedc90>,54544,rebeaty,7H4H7DwVobsViprPNEB4jm,68879462acd0ae2c5ecf4b88,106,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,less lanes for cars and more lanes for bikes/buses?,Submitted,10,Design Problems,120,0,2026-01-07 02:12:28.570273+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,less lanes for cars and more lanes for bikes/buses?,15.0,18.0,15.0,,
<django.db.models.base.ModelState object at 0x7f23c3dedd20>,54545,rebeaty,7H4H7DwVobsViprPNEB4jm,68879462acd0ae2c5ecf4b88,107,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,limiting trucks/big vehicles to only travel at night,Submitted,9,Design Problems,120,0,2026-01-07 02:12:28.573119+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,limiting trucks/big vehicles to only travel at night,20.0,28.0,25.0,,
<django.db.models.base.ModelState object at 0x7f23c3deddb0>,54546,rebeaty,7H4H7DwVobsViprPNEB4jm,68879462acd0ae2c5ecf4b88,108,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,car bans in some areas? ,Submitted,5,Design Problems,120,0,2026-01-07 02:12:28.575993+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,car bans in some areas?,15.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3dede40>,54547,rebeaty,7H4H7DwVobsViprPNEB4jm,68879462acd0ae2c5ecf4b88,109,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,better improved subways,Submitted,3,Design Problems,120,0,2026-01-07 02:12:28.578841+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,better improved subways,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3deded0>,54548,rebeaty,7H4H7DwVobsViprPNEB4jm,68879462acd0ae2c5ecf4b88,110,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,underground tunnels? and more alternative routes,Submitted,6,Design Problems,120,0,2026-01-07 02:12:28.581702+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,underground tunnels? and more alternative routes,15.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3dedf60>,54549,rebeaty,7H4H7DwVobsViprPNEB4jm,68879462acd0ae2c5ecf4b88,111,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,toll roads,Submitted,2,Design Problems,120,0,2026-01-07 02:12:28.584525+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,toll roads,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3dee080>,54551,rebeaty,7H4H7DwVobsViprPNEB4jm,68879462acd0ae2c5ecf4b88,113,dp-10,Develop as many design ideas as you can to improve access to clean water in remote areas.,collecting rainwater,Submitted,2,Design Problems,120,0,2026-01-07 02:14:31.578117+00:00,Develop as many design ideas as you can to improve access to clean water in remote areas.,collecting rainwater,10.0,18.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3dee110>,54552,rebeaty,7H4H7DwVobsViprPNEB4jm,68879462acd0ae2c5ecf4b88,114,dp-10,Develop as many design ideas as you can to improve access to clean water in remote areas.,solar powered water pumps,Submitted,4,Design Problems,120,0,2026-01-07 02:14:31.581379+00:00,Develop as many design ideas as you can to improve access to clean water in remote areas.,solar powered water pumps,15.0,22.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3dee1a0>,54553,rebeaty,7H4H7DwVobsViprPNEB4jm,68879462acd0ae2c5ecf4b88,115,dp-10,Develop as many design ideas as you can to improve access to clean water in remote areas.,wells,Submitted,1,Design Problems,120,0,2026-01-07 02:14:31.584508+00:00,Develop as many design ideas as you can to improve access to clean water in remote areas.,wells,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3dee230>,54554,rebeaty,7H4H7DwVobsViprPNEB4jm,68879462acd0ae2c5ecf4b88,116,dp-10,Develop as many design ideas as you can to improve access to clean water in remote areas.,clay pots for water storage,Submitted,5,Design Problems,120,0,2026-01-07 02:14:31.587607+00:00,Develop as many design ideas as you can to improve access to clean water in remote areas.,clay pots for water storage,10.0,18.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3dee2c0>,54555,rebeaty,7H4H7DwVobsViprPNEB4jm,68879462acd0ae2c5ecf4b88,117,dp-10,Develop as many design ideas as you can to improve access to clean water in remote areas.,aqueducts like in rome,Submitted,4,Design Problems,120,0,2026-01-07 02:14:31.590515+00:00,Develop as many design ideas as you can to improve access to clean water in remote areas.,aqueducts like in rome,15.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3dee350>,54556,rebeaty,7H4H7DwVobsViprPNEB4jm,68879462acd0ae2c5ecf4b88,118,dp-10,Develop as many design ideas as you can to improve access to clean water in remote areas.,clean rain gutters that can run off and be collected,Submitted,10,Design Problems,120,0,2026-01-07 02:14:31.593408+00:00,Develop as many design ideas as you can to improve access to clean water in remote areas.,clean rain gutters that can run off and be collected,15.0,18.0,15.0,,
<django.db.models.base.ModelState object at 0x7f23c3dee3e0>,54557,rebeaty,7H4H7DwVobsViprPNEB4jm,68879462acd0ae2c5ecf4b88,119,dp-10,Develop as many design ideas as you can to improve access to clean water in remote areas.,water stations funded by community and serviced from a nearby town,Submitted,11,Design Problems,120,0,2026-01-07 02:14:31.596284+00:00,Develop as many design ideas as you can to improve access to clean water in remote areas.,water stations funded by community and serviced from a nearby town,15.0,18.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3dee500>,54559,rebeaty,7H4H7DwVobsViprPNEB4jm,68879462acd0ae2c5ecf4b88,121,dp-8,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,ai glasses that the user can wear that will remind them to do their tasks,Submitted,15,Design Problems,120,0,2026-01-07 02:16:35.263959+00:00,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,ai glasses that the user can wear that will remind them to do their tasks,20.0,28.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3dee590>,54560,rebeaty,7H4H7DwVobsViprPNEB4jm,68879462acd0ae2c5ecf4b88,122,dp-8,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,smartphone assistant that will remind them periodically,Submitted,7,Design Problems,120,0,2026-01-07 02:16:35.267056+00:00,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,smartphone assistant that will remind them periodically,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3dee620>,54561,rebeaty,7H4H7DwVobsViprPNEB4jm,68879462acd0ae2c5ecf4b88,123,dp-8,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,a nice journal they can use daily to write down tasks ,Submitted,11,Design Problems,120,0,2026-01-07 02:16:35.269973+00:00,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,a nice journal they can use daily to write down tasks,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3dee6b0>,54562,rebeaty,7H4H7DwVobsViprPNEB4jm,68879462acd0ae2c5ecf4b88,124,dp-8,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,helping them do fun memory games to strengthen their memory,Submitted,10,Design Problems,120,0,2026-01-07 02:16:35.272914+00:00,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,helping them do fun memory games to strengthen their memory,15.0,18.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3dee740>,54563,rebeaty,7H4H7DwVobsViprPNEB4jm,68879462acd0ae2c5ecf4b88,125,dp-8,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,maybe a cute smartphone app that is fun and customizeable for the user that tracks their tasks and reminds them on a certain time/day to do them like through notifications,Submitted,31,Design Problems,120,0,2026-01-07 02:16:35.275844+00:00,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,maybe a cute smartphone app that is fun and customizeable for the user that tracks their tasks and reminds them on a certain time/day to do them like through notifications,15.0,18.0,20.0,,
<django.db.models.base.ModelState object at 0x7f23c3dee7d0>,54564,rebeaty,7H4H7DwVobsViprPNEB4jm,68879462acd0ae2c5ecf4b88,126,dp-8,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,family members helping them by reminding them,Submitted,7,Design Problems,120,0,2026-01-07 02:16:35.278730+00:00,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,family members helping them by reminding them,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3dee8f0>,54566,rebeaty,7H4H7DwVobsViprPNEB4jm,68879462acd0ae2c5ecf4b88,128,dp-2,Develop as many design ideas as you can to increase the use of renewable energy sources.,wider use of solar powered panels? ,Submitted,6,Design Problems,120,0,2026-01-07 02:18:38.453546+00:00,Develop as many design ideas as you can to increase the use of renewable energy sources.,wider use of solar powered panels?,10.0,15.0,10.0,,
