_state,id,researcher_id,experiment_id,participant_id,trial_num,item_id,item,response,timelimit,word_count,task_type,time_per_trial,left_page,created_at
<django.db.models.base.ModelState object at 0x7f236edb55d0>,54192,rebeaty,7H4H7DwVobsViprPNEB4jm,test,20,aut-4,BUCKET,EMPTY RESPONSE,Time Limit Hit,2,Alternate Uses Task,120,0,2026-01-06 21:46:10.394127+00:00
<django.db.models.base.ModelState object at 0x7f236edb5660>,54193,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,6,dp-6,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,A wheelchair which can climb stairs ,Submitted,6,Design Problems,120,0,2026-01-06 21:47:40.372694+00:00
<django.db.models.base.ModelState object at 0x7f236edb56f0>,54194,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,7,dp-6,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,"having rotating stairs like an escalator, so the stairs go round. ",Submitted,11,Design Problems,120,0,2026-01-06 21:47:40.375916+00:00
<django.db.models.base.ModelState object at 0x7f236edb5780>,54195,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,8,dp-6,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,Have one step which can ,Time Limit Hit,5,Design Problems,120,0,2026-01-06 21:47:40.379016+00:00
<django.db.models.base.ModelState object at 0x7f236edb5810>,54196,rebeaty,7H4H7DwVobsViprPNEB4jm,test,21,aut-13,SOCK,gw,Submitted,1,Alternate Uses Task,120,0,2026-01-06 21:48:32.726890+00:00
<django.db.models.base.ModelState object at 0x7f236edb58a0>,54197,rebeaty,7H4H7DwVobsViprPNEB4jm,test,22,aut-13,SOCK,EMPTY RESPONSE,Time Limit Hit,2,Alternate Uses Task,120,0,2026-01-06 21:48:32.735027+00:00
<django.db.models.base.ModelState object at 0x7f236edb5930>,54198,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,9,dp-10,Develop as many design ideas as you can to improve access to clean water in remote areas.,Have clean water zones i.e. hand pump areas ,Submitted,9,Design Problems,120,0,2026-01-06 21:49:45.238031+00:00
<django.db.models.base.ModelState object at 0x7f236edb59c0>,54199,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,10,dp-10,Develop as many design ideas as you can to improve access to clean water in remote areas.,EMPTY RESPONSE,Time Limit Hit,2,Design Problems,120,0,2026-01-06 21:49:45.241271+00:00
<django.db.models.base.ModelState object at 0x7f236edb5a50>,54200,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,11,dp-8,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,Have a mini AI tool where you speak it into it and it reminds you of tasks and you can tell it to mark off when done. ,Submitted,27,Design Problems,120,0,2026-01-06 21:52:01.268883+00:00
<django.db.models.base.ModelState object at 0x7f236edb5ae0>,54201,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,12,dp-8,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,EMPTY RESPONSE,Time Limit Hit,2,Design Problems,120,0,2026-01-06 21:52:01.271965+00:00
<django.db.models.base.ModelState object at 0x7f236edb5b70>,54202,rebeaty,7H4H7DwVobsViprPNEB4jm,test,23,img7,gw,7H4H7DwVobsViprPNEB4jm_participant_test_img7.png,Submitted,794,Drawing Task,120,0,2026-01-06 21:52:29.206100+00:00
<django.db.models.base.ModelState object at 0x7f236edb5c00>,54203,rebeaty,7H4H7DwVobsViprPNEB4jm,test,24,img7,EMPTY RESPONSE,7H4H7DwVobsViprPNEB4jm_participant_test_img7.png,Time Limit Hit,811,Drawing Task,120,0,2026-01-06 21:52:29.216650+00:00
<django.db.models.base.ModelState object at 0x7f236edb5c90>,54204,rebeaty,7H4H7DwVobsViprPNEB4jm,test,25,img4,EMPTY RESPONSE,7H4H7DwVobsViprPNEB4jm_participant_test_img4.png,Time Limit Hit,907,Drawing Task,120,0,2026-01-06 21:54:30.506283+00:00
<django.db.models.base.ModelState object at 0x7f236edb5d20>,54205,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,13,DAT_13,DAT_13,"Pebble,storm,warmth,Debt,Night,luck,EMPTY RESPONSE,EMPTY RESPONSE,EMPTY RESPONSE,EMPTY RESPONSE",Submitted,14,Divergent Association Task,240,0,2026-01-06 21:55:44.147250+00:00
<django.db.models.base.ModelState object at 0x7f236edb5db0>,54206,rebeaty,7H4H7DwVobsViprPNEB4jm,test,26,img11,EMPTY RESPONSE,7H4H7DwVobsViprPNEB4jm_participant_test_img11.png,Time Limit Hit,412,Drawing Task,120,0,2026-01-06 21:56:31.809207+00:00
<django.db.models.base.ModelState object at 0x7f236edb5e40>,54207,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,14,img4,Light bulb,7H4H7DwVobsViprPNEB4jm_participant_5fb551ccab996500099ab1aa_img4.png,Submitted,976,Drawing Task,120,0,2026-01-06 21:58:01.034081+00:00
<django.db.models.base.ModelState object at 0x7f236edb5ed0>,54208,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,15,img4,Balloon,7H4H7DwVobsViprPNEB4jm_participant_5fb551ccab996500099ab1aa_img4.png,Submitted,945,Drawing Task,120,0,2026-01-06 21:58:01.044311+00:00
<django.db.models.base.ModelState object at 0x7f236edb5f60>,54209,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,16,img4,teddy bear,7H4H7DwVobsViprPNEB4jm_participant_5fb551ccab996500099ab1aa_img4.png,Submitted,1053,Drawing Task,120,0,2026-01-06 21:58:01.050424+00:00
<django.db.models.base.ModelState object at 0x7f236edb5ff0>,54210,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,17,img4,EMPTY RESPONSE,7H4H7DwVobsViprPNEB4jm_participant_5fb551ccab996500099ab1aa_img4.png,Time Limit Hit,907,Drawing Task,120,0,2026-01-06 21:58:01.056485+00:00
<django.db.models.base.ModelState object at 0x7f236edb6080>,54211,rebeaty,7H4H7DwVobsViprPNEB4jm,test,27,img9,EMPTY RESPONSE,7H4H7DwVobsViprPNEB4jm_participant_test_img9.png,Time Limit Hit,582,Drawing Task,120,0,2026-01-06 21:58:33.202750+00:00
<django.db.models.base.ModelState object at 0x7f236edb6110>,54212,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,18,img8,light bulb,7H4H7DwVobsViprPNEB4jm_participant_5fb551ccab996500099ab1aa_img8.png,Time Limit Hit,901,Drawing Task,120,0,2026-01-06 22:00:02.699060+00:00
<django.db.models.base.ModelState object at 0x7f236edb61a0>,54213,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,19,img8,whoopy cushion,7H4H7DwVobsViprPNEB4jm_participant_5fb551ccab996500099ab1aa_img8.png,Time Limit Hit,904,Drawing Task,120,0,2026-01-06 22:00:02.705541+00:00
<django.db.models.base.ModelState object at 0x7f236edb6230>,54214,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,20,img8,EMPTY RESPONSE,7H4H7DwVobsViprPNEB4jm_participant_5fb551ccab996500099ab1aa_img8.png,Time Limit Hit,1068,Drawing Task,120,0,2026-01-06 22:00:02.710413+00:00
<django.db.models.base.ModelState object at 0x7f236edb62c0>,54215,rebeaty,7H4H7DwVobsViprPNEB4jm,test,28,img8,EMPTY RESPONSE,7H4H7DwVobsViprPNEB4jm_participant_test_img8.png,Time Limit Hit,849,Drawing Task,120,0,2026-01-06 22:00:34.478869+00:00
<django.db.models.base.ModelState object at 0x7f236edb6350>,54216,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,21,img7,Teddy bear,7H4H7DwVobsViprPNEB4jm_participant_5fb551ccab996500099ab1aa_img7.png,Time Limit Hit,1148,Drawing Task,120,0,2026-01-06 22:02:04.446504+00:00
<django.db.models.base.ModelState object at 0x7f236edb63e0>,54217,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,22,img7,EMPTY RESPONSE,7H4H7DwVobsViprPNEB4jm_participant_5fb551ccab996500099ab1aa_img7.png,Time Limit Hit,811,Drawing Task,120,0,2026-01-06 22:02:04.456740+00:00
<django.db.models.base.ModelState object at 0x7f236edb6470>,54218,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,23,img7,EMPTY RESPONSE,7H4H7DwVobsViprPNEB4jm_participant_5fb551ccab996500099ab1aa_img7.png,Time Limit Hit,811,Drawing Task,120,0,2026-01-06 22:02:04.464025+00:00
<django.db.models.base.ModelState object at 0x7f236edb6500>,54219,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,24,img9,lamp,7H4H7DwVobsViprPNEB4jm_participant_5fb551ccab996500099ab1aa_img9.png,Time Limit Hit,652,Drawing Task,120,0,2026-01-06 22:04:06.049959+00:00
<django.db.models.base.ModelState object at 0x7f236edb6590>,54220,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,25,img9,mushroom,7H4H7DwVobsViprPNEB4jm_participant_5fb551ccab996500099ab1aa_img9.png,Time Limit Hit,646,Drawing Task,120,0,2026-01-06 22:04:06.060411+00:00
<django.db.models.base.ModelState object at 0x7f236edb6620>,54221,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,26,img9,cupcake,7H4H7DwVobsViprPNEB4jm_participant_5fb551ccab996500099ab1aa_img9.png,Time Limit Hit,722,Drawing Task,120,0,2026-01-06 22:04:06.068558+00:00
<django.db.models.base.ModelState object at 0x7f236edb66b0>,54222,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,27,img9,EMPTY RESPONSE,7H4H7DwVobsViprPNEB4jm_participant_5fb551ccab996500099ab1aa_img9.png,Time Limit Hit,582,Drawing Task,120,0,2026-01-06 22:04:06.076362+00:00
<django.db.models.base.ModelState object at 0x7f236edb6740>,54223,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,28,img11,bread slice,7H4H7DwVobsViprPNEB4jm_participant_5fb551ccab996500099ab1aa_img11.png,Time Limit Hit,497,Drawing Task,120,0,2026-01-06 22:06:07.527561+00:00
<django.db.models.base.ModelState object at 0x7f236edb67d0>,54224,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,29,img11,EMPTY RESPONSE,7H4H7DwVobsViprPNEB4jm_participant_5fb551ccab996500099ab1aa_img11.png,Time Limit Hit,412,Drawing Task,120,0,2026-01-06 22:06:07.536229+00:00
<django.db.models.base.ModelState object at 0x7f236edb6860>,54225,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,30,aut-8,KNIFE,screw driver ,Submitted,2,Alternate Uses Task,120,0,2026-01-06 22:08:34.199046+00:00
<django.db.models.base.ModelState object at 0x7f236edb68f0>,54226,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,31,aut-8,KNIFE,EMPTY RESPONSE,Time Limit Hit,2,Alternate Uses Task,120,0,2026-01-06 22:08:34.205713+00:00
<django.db.models.base.ModelState object at 0x7f236edb6980>,54227,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,32,aut-13,SOCK,puppet,Submitted,1,Alternate Uses Task,120,0,2026-01-06 22:10:39.589425+00:00
<django.db.models.base.ModelState object at 0x7f236edb6a10>,54228,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,33,aut-13,SOCK,EMPTY RESPONSE,Time Limit Hit,2,Alternate Uses Task,120,0,2026-01-06 22:10:39.596652+00:00
<django.db.models.base.ModelState object at 0x7f236edb6aa0>,54229,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,34,aut-4,BUCKET,EMPTY RESPONSE,Time Limit Hit,2,Alternate Uses Task,120,0,2026-01-06 22:12:57.557641+00:00
<django.db.models.base.ModelState object at 0x7f236edb6b30>,54230,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,35,aut-10,PENCIL,arrow,Submitted,1,Alternate Uses Task,120,0,2026-01-06 22:15:01.800494+00:00
<django.db.models.base.ModelState object at 0x7f236edb6bc0>,54231,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,36,aut-10,PENCIL,Knife,Submitted,1,Alternate Uses Task,120,0,2026-01-06 22:15:01.809164+00:00
<django.db.models.base.ModelState object at 0x7f236edb6c50>,54232,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,37,aut-10,PENCIL,EMPTY RESPONSE,Time Limit Hit,2,Alternate Uses Task,120,0,2026-01-06 22:15:01.813855+00:00
<django.db.models.base.ModelState object at 0x7f236edb6ce0>,54233,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,38,aut-2,BRICK,Boat anchor,Submitted,2,Alternate Uses Task,120,0,2026-01-06 22:17:37.512446+00:00
<django.db.models.base.ModelState object at 0x7f236edb6d70>,54234,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,39,aut-2,BRICK,Door stopper,Submitted,2,Alternate Uses Task,120,0,2026-01-06 22:17:37.518535+00:00
<django.db.models.base.ModelState object at 0x7f236edb6e00>,54235,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,40,aut-2,BRICK,paper weight,Submitted,2,Alternate Uses Task,120,0,2026-01-06 22:17:37.523314+00:00
<django.db.models.base.ModelState object at 0x7f236edb6e90>,54236,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,41,aut-2,BRICK,EMPTY RESPONSE,Time Limit Hit,2,Alternate Uses Task,120,0,2026-01-06 22:17:37.527380+00:00
<django.db.models.base.ModelState object at 0x7f236edb6f20>,54237,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,42,sctt-hg-5,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,The earth is rotating,Submitted,4,Scientific Creative Thinking Task,120,0,2026-01-06 22:19:58.080214+00:00
<django.db.models.base.ModelState object at 0x7f236edb6fb0>,54238,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,43,sctt-hg-5,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,The stars are moving (shooting stars),Submitted,6,Scientific Creative Thinking Task,120,0,2026-01-06 22:19:58.087673+00:00
<django.db.models.base.ModelState object at 0x7f236edb7040>,54239,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,44,sctt-hg-5,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,They're actually asteroids,Time Limit Hit,4,Scientific Creative Thinking Task,120,0,2026-01-06 22:19:58.091906+00:00
<django.db.models.base.ModelState object at 0x7f236edb70d0>,54240,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,45,sctt-hg-3,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,EMPTY RESPONSE,Time Limit Hit,2,Scientific Creative Thinking Task,120,0,2026-01-06 22:22:03.273131+00:00
<django.db.models.base.ModelState object at 0x7f236edb7160>,54241,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,46,sctt-rq-1,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,Do you have emotions ,Submitted,4,Scientific Creative Thinking Task,120,0,2026-01-06 22:24:12.536324+00:00
<django.db.models.base.ModelState object at 0x7f236edb71f0>,54242,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,47,sctt-rq-1,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,Can you show empathy ,Submitted,4,Scientific Creative Thinking Task,120,0,2026-01-06 22:24:12.543171+00:00
<django.db.models.base.ModelState object at 0x7f236edb7280>,54243,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,48,sctt-rq-1,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,EMPTY RESPONSE,Time Limit Hit,2,Scientific Creative Thinking Task,120,0,2026-01-06 22:24:12.547524+00:00
<django.db.models.base.ModelState object at 0x7f236edb7310>,54244,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,49,sctt-rq-2,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,what types of natural food does it produce ,Submitted,8,Scientific Creative Thinking Task,120,0,2026-01-06 22:27:25.004386+00:00
<django.db.models.base.ModelState object at 0x7f236edb73a0>,54245,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,50,sctt-rq-2,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,How many hours in a day is there on the planet ,Submitted,11,Scientific Creative Thinking Task,120,0,2026-01-06 22:27:25.011293+00:00
<django.db.models.base.ModelState object at 0x7f236edb7430>,54246,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,51,sctt-rq-2,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,EMPTY RESPONSE,Time Limit Hit,2,Scientific Creative Thinking Task,120,0,2026-01-06 22:27:25.015338+00:00
<django.db.models.base.ModelState object at 0x7f236edb74c0>,54247,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,52,sctt-rq-5,You travel to a remote island and find people that do not communicate verbally. What scientific questions could you ask about the people of the island?,How do you communicate to one another ,Submitted,7,Scientific Creative Thinking Task,120,0,2026-01-06 22:29:35.294636+00:00
<django.db.models.base.ModelState object at 0x7f236edb7550>,54248,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,53,sctt-rq-5,You travel to a remote island and find people that do not communicate verbally. What scientific questions could you ask about the people of the island?, Do you write ,Submitted,3,Scientific Creative Thinking Task,120,0,2026-01-06 22:29:35.300546+00:00
<django.db.models.base.ModelState object at 0x7f236edb75e0>,54249,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,54,sctt-rq-5,You travel to a remote island and find people that do not communicate verbally. What scientific questions could you ask about the people of the island?,EMPTY RESPONSE,Time Limit Hit,2,Scientific Creative Thinking Task,120,0,2026-01-06 22:29:35.304609+00:00
<django.db.models.base.ModelState object at 0x7f236edb7670>,54250,rebeaty,7H4H7DwVobsViprPNEB4jm,628f7e982aad1788d940317a,1,DAT_1,DAT_1,"love,hate,hot,cold,evil,good,dull,sharp,bold,meek",Submitted,10,Divergent Association Task,240,0,2026-01-06 22:43:57.867536+00:00
<django.db.models.base.ModelState object at 0x7f236edb7700>,54251,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,1,DAT_1,DAT_1,"Hail,Bread,Tomato,Sand,Castle,Planet,Anger,Echo,Shoe,Idea",Submitted,10,Divergent Association Task,240,3,2026-01-06 23:34:28.326958+00:00
<django.db.models.base.ModelState object at 0x7f236edb7790>,54252,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,2,img7,Skydiving,7H4H7DwVobsViprPNEB4jm_participant_609911e00dd4843e39cb88ac_img7.png,Submitted,971,Drawing Task,120,1,2026-01-06 23:36:41.771793+00:00
<django.db.models.base.ModelState object at 0x7f236edb7820>,54253,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,3,img7,EMPTY RESPONSE,7H4H7DwVobsViprPNEB4jm_participant_609911e00dd4843e39cb88ac_img7.png,Time Limit Hit,837,Drawing Task,120,1,2026-01-06 23:36:41.782310+00:00
<django.db.models.base.ModelState object at 0x7f236edb78b0>,54254,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,4,img11,temple,7H4H7DwVobsViprPNEB4jm_participant_609911e00dd4843e39cb88ac_img11.png,Time Limit Hit,589,Drawing Task,120,1,2026-01-06 23:38:43.446476+00:00
<django.db.models.base.ModelState object at 0x7f236edb7940>,54255,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,5,img11,The back of a cat or dog,7H4H7DwVobsViprPNEB4jm_participant_609911e00dd4843e39cb88ac_img11.png,Time Limit Hit,699,Drawing Task,120,1,2026-01-06 23:38:43.457064+00:00
<django.db.models.base.ModelState object at 0x7f236edb79d0>,54256,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,6,img11,clock,7H4H7DwVobsViprPNEB4jm_participant_609911e00dd4843e39cb88ac_img11.png,Time Limit Hit,670,Drawing Task,120,1,2026-01-06 23:38:43.465403+00:00
